dataset,instance,variant,HV_common,Cmax_best,TEC_best,WB_best,NSol,Time,Transition_gen,PPO_update_count,BC_final_accuracy,Entropy_last20,seed_count
Brandimarte,Mk01.fjs,R1_survival_only,0.9623148071482108,61.91972559912156,1781.8741596781051,12.999999999999991,76.0,67.06635868549347,70.0,2.0,0.321428582072258,0.8598013717412932,10
Brandimarte,Mk01.fjs,R2_hv_only,0.9552523117246665,62.428668546465275,1803.90761268226,12.99999999999999,79.5,64.0016860961914,68.5,2.0,0.28087557852268213,0.8447498719580941,10
Brandimarte,Mk01.fjs,R3_cmax_only,0.9232708378161538,62.3898279454161,1792.112884817921,12.999999999999991,75.5,54.619070291519165,70.0,2.0,0.2576036900281906,0.8296983721748951,10
Brandimarte,Mk01.fjs,R4_survival_hv,0.9661943344085518,61.792636866829284,1789.489522091194,12.999999999999991,70.0,55.86425268650055,66.5,2.5,0.3062500059604645,0.8022182134379926,10
Brandimarte,Mk01.fjs,R5_composite,0.9767902866569863,61.741130376720804,1793.0924409505062,12.999999999999991,77.0,54.22354972362518,70.0,2.0,0.3062500059604645,0.8200130596015762,10
Brandimarte,Mk01.fjs,R6_adaptive_weight,0.925883301078684,63.37060209580649,1797.0724816403256,12.99999999999999,71.0,55.27830636501312,67.0,2.5,0.3276785761117935,0.817584620548888,10
Brandimarte,Mk02.fjs,R1_survival_only,1.0107549549171864,49.55959190147337,1630.160157445386,1.999999999999993,46.0,58.01431715488434,70.0,2.0,0.3000000119209289,0.8756044340753462,10
Brandimarte,Mk02.fjs,R2_hv_only,0.9655053773937843,50.63433543047695,1630.2853983345485,1.9999999999999964,53.0,56.44538879394531,67.0,2.5,0.30322581529617304,0.8476876201152861,10
Brandimarte,Mk02.fjs,R3_cmax_only,1.0046217424530943,49.6355312123346,1639.4767565680268,1.9999999999999947,48.0,56.45355236530304,64.0,3.0,0.28801843523979187,0.8254519006928027,10
Brandimarte,Mk02.fjs,R4_survival_hv,0.9873892691618348,49.17190142531296,1638.7341451408665,1.9999999999999964,50.0,58.16293668746948,66.0,2.5,0.3402116447687149,0.7854898371529593,10
Brandimarte,Mk02.fjs,R5_composite,1.0068329115072747,49.422945523344254,1615.2674656240397,1.999999999999993,46.0,57.94250404834747,70.0,2.0,0.321428582072258,0.8168330579980341,10
Brandimarte,Mk02.fjs,R6_adaptive_weight,1.0194015590683714,49.8605594344456,1619.4658009349275,1.9999999999999947,49.0,55.70844256877899,69.5,2.0,0.3142857253551483,0.8504309664956707,10
Brandimarte,Mk03.fjs,R1_survival_only,0.936791788631944,364.19324653383535,12020.227331760992,23.999999999999915,74.5,97.23105013370514,70.0,2.0,0.2857142984867096,0.9012665603828445,10
Brandimarte,Mk03.fjs,R2_hv_only,0.9438691318757233,360.74754095018227,11881.079920978595,25.99999999999993,67.5,96.18420577049254,70.0,2.0,0.2857142984867096,0.8511825290465247,10
Brandimarte,Mk03.fjs,R3_cmax_only,0.9170208088349786,368.8688504296028,12012.572564589449,26.999999999999872,69.5,105.34822010993958,70.0,2.0,0.2500000074505806,0.8805339660620688,10
