Fold,dataset,instance,Budget,variant,HV_fixed,HV_expanded_1p5,IGDplus_fixed,Cmax_best,TEC_best,WB_best,NSol,elapsed_seconds,cpu_seconds,learning_time,Initial_evaluations,Offspring_evaluations,Online_PPO_samples,Online_PPO_collected_transitions,Online_PPO_discarded_singletons,PPO_controlled_actions,Online_PPO_updates,Online_PPO_optimizer_steps,Transition_gen,Operator_entropy,Policy_parameter_L2_drift
1,Brandimarte,Mk04.fjs,50,ScratchNoBC_R16,0.9840124826228397,2.792629335414053,0.07159100947914632,120.97207569712108,3820.674427186036,35.999999999999986,53.0,39.96537101268768,39.67592962050003,0.014243843033909749,100.0,5000.0,15.0,15.0,0.0,15.0,1.0,4.0,35.0,0.9884806287693519,0.1296885480756115
1,Brandimarte,Mk04.fjs,50,UCBOnly,0.992892251582514,2.803035545401131,0.06784252130339447,123.07505796365838,3790.165533106697,35.99999999999998,46.5,39.50157105922699,39.29911653749997,0.0,100.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.9999999999999998,0.0
1,Brandimarte,Mk04.fjs,50,XPrePPO_Frozen,1.0369496275167946,2.884264166378106,0.050319474491753446,119.43935826266534,3829.605020233127,35.999999999999986,43.5,38.96283745765686,38.81708045900001,0.0,100.0,5000.0,0.0,0.0,0.0,15.0,0.0,0.0,35.0,0.8772480623330972,0.0
1,Brandimarte,Mk04.fjs,50,XPrePPO_Online_R16,1.0369496275167946,2.884264166378106,0.050319474491753446,119.43935826266534,3829.605020233127,35.999999999999986,43.5,39.0622216463089,38.89322536999998,0.01315450202673665,100.0,5000.0,15.0,15.0,0.0,15.0,1.0,4.0,35.0,0.8772480623330972,0.1216392178735476
1,Brandimarte,Mk04.fjs,100,ScratchNoBC_R16,0.9254864763473991,2.6752389691744645,0.08965629101959222,112.88114252949319,3698.3226716588338,35.99999999999997,61.0,78.7534568309784,78.35996678999993,0.02820530859753485,100.0,10000.0,30.0,30.0,0.0,30.0,2.0,8.0,70.0,0.9946648301760743,0.23219446601759644
1,Brandimarte,Mk04.fjs,100,UCBOnly,0.9087059167907989,2.6432319981603367,0.10482573408546905,114.18334443805017,3703.5297346585676,35.99999999999998,61.0,77.64677655696869,77.18767310349995,0.0,100.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.999564978783056,0.0
1,Brandimarte,Mk04.fjs,100,XPrePPO_Frozen,0.9511220660944404,2.708195590112225,0.07433199840729973,112.18445218928767,3703.9750931315284,35.99999999999997,65.0,76.1533350944519,75.8595548335,0.0,100.0,10000.0,0.0,0.0,0.0,30.0,0.0,0.0,70.0,0.8904800234311445,0.0
1,Brandimarte,Mk04.fjs,100,XPrePPO_Online_R16,0.9346747992368876,2.667355916720833,0.07501128582535606,112.18445218928767,3703.9750931315284,35.99999999999997,68.0,77.59427666664124,77.16324099099995,0.0270802271552383,100.0,10000.0,30.0,30.0,0.0,30.0,2.0,8.0,70.0,0.8904800234311445,0.18406752469088117
1,Brandimarte,Mk04.fjs,200,ScratchNoBC_R16,0.8867629772840615,2.5948777415265822,0.11125930562716048,103.24201453092576,3614.912104738084,35.99999999999997,89.5,156.17791426181793,155.51356430849995,0.1032225885428488,100.0,20000.0,111.0,111.0,0.0,111.0,7.0,28.0,89.0,0.9942037762781823,0.6440843896143094
1,Brandimarte,Mk04.fjs,200,UCBOnly,0.8915311434849504,2.6231598631778374,0.11088365767645812,103.93882439627838,3601.368514592285,35.99999999999997,91.5,156.02077221870422,155.28692778549998,0.0,100.0,20000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.9993685208520128,0.0
1,Brandimarte,Mk04.fjs,200,XPrePPO_Frozen,0.8830045285900112,2.574759921603289,0.09271244326803482,104.28551087778547,3640.4224989758186,35.99999999999997,100.0,152.92394280433655,152.33407694999994,0.0,100.0,20000.0,0.0,0.0,0.0,111.0,0.0,0.0,89.0,0.7036833047322111,0.0
1,Brandimarte,Mk04.fjs,200,XPrePPO_Online_R16,0.8856071660813104,2.5820258783439263,0.09557621393674962,105.52610409808351,3627.2890040904686,35.99999999999997,100.0,154.13875770568848,153.369567406,0.09490199154242865,100.0,20000.0,111.0,111.0,0.0,111.0,7.0,28.0,89.0,0.717287032751014,0.4586324155982874
1,Brandimarte,Mk10.fjs,50,ScratchNoBC_R16,1.0043218004039496,2.769221825669331,0.11811113524249016,628.3668041756727,23300.89064087681,231.0,27.0,72.42936623096466,72.12328606799997,0.01342534599825735,100.0,5000.0,15.0,15.0,0.0,15.0,1.0,4.0,35.0,0.990200018764055,0.1302610917005227
1,Brandimarte,Mk10.fjs,50,UCBOnly,1.022673544346023,2.80660003239592,0.11977788860026181,628.9413045180745,23350.324655014243,229.49999999999991,34.5,72.54664540290833,72.11739164450023,0.0,100.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.9982510515149293,0.0
1,Brandimarte,Mk10.fjs,50,XPrePPO_Frozen,1.0314837523609732,2.812276793122261,0.09300946595260738,632.8377756903121,23205.78701108946,227.0,30.5,63.70159423351288,63.388829443499844,0.0,100.0,5000.0,0.0,0.0,0.0,15.0,0.0,0.0,35.0,0.8772480623330972,0.0
1,Brandimarte,Mk10.fjs,50,XPrePPO_Online_R16,1.0314837523609732,2.812276793122261,0.09300946595260738,632.8377756903121,23205.78701108946,227.0,30.5,63.29968523979187,63.16333630049985,0.01198896532878275,100.0,5000.0,15.0,15.0,0.0,15.0,1.0,4.0,35.0,0.8772480623330972,0.12144031559436164
