Fold,dataset,instance,Budget,contrast,front_extreme,absolute_change,comparator_extreme,relative_change_percent
1,Hurink_edata,la24.fjs,200,online_minus_scratch,best_energy_index,2133.251661812479,76574.4885863497,2.7858516605134156
1,Hurink_edata,la26.fjs,50,online_minus_scratch,best_energy_index,1244.2446147860464,119858.21147208291,1.0380970978161583
1,Hurink_edata,la26.fjs,100,online_minus_scratch,best_energy_index,977.3081420229428,116702.65837147564,0.8374343443934912
1,Hurink_edata,la26.fjs,200,online_minus_scratch,best_energy_index,1162.7895317127259,113753.45361440248,1.0222015198363203
1,Hurink_edata,la34.fjs,50,online_minus_scratch,best_energy_index,638.7295065830695,159967.5465809831,0.3992869305273208
1,Hurink_edata,la34.fjs,100,online_minus_scratch,best_energy_index,340.0842047059268,155956.64422155885,0.21806329983786282
1,Hurink_edata,la34.fjs,200,online_minus_scratch,best_energy_index,3196.990701642644,152323.09420412523,2.098822058694802
1,Hurink_edata,la37.fjs,50,online_minus_scratch,best_energy_index,65.34765808985685,170063.12302339607,0.03842553101936555
1,Hurink_edata,la37.fjs,100,online_minus_scratch,best_energy_index,2129.09075505301,164780.67961665685,1.2920754787552113
1,Hurink_edata,la37.fjs,200,online_minus_scratch,best_energy_index,5114.563639067288,160021.03219838196,3.196182132312857
2,Brandimarte,Mk02.fjs,50,online_minus_scratch,best_energy_index,-8.794758757728914,1672.031013210264,-0.5259925616357536
2,Brandimarte,Mk02.fjs,100,online_minus_scratch,best_energy_index,7.012845205146959,1618.7796633441171,0.4332180199657093
2,Brandimarte,Mk02.fjs,200,online_minus_scratch,best_energy_index,26.46054565276245,1585.7984097020772,1.6685945383015974
2,Brandimarte,Mk03.fjs,50,online_minus_scratch,best_energy_index,47.30095480694217,12206.709897441298,0.38749962278416344
2,Brandimarte,Mk03.fjs,100,online_minus_scratch,best_energy_index,-208.7718072165626,12023.555518525034,-1.7363566616788348
2,Brandimarte,Mk03.fjs,200,online_minus_scratch,best_energy_index,-159.98732173891403,11792.122069524576,-1.356730542608471
2,Hurink_edata,la03.fjs,50,online_minus_scratch,best_energy_index,153.4968119644691,20021.025845497243,0.7666780571036061
2,Hurink_edata,la03.fjs,100,online_minus_scratch,best_energy_index,191.92367429631122,19690.546846089557,0.9746995641943093
2,Hurink_edata,la03.fjs,200,online_minus_scratch,best_energy_index,293.72768931102473,19356.115364378536,1.517492966856242
2,Hurink_edata,la07.fjs,50,online_minus_scratch,best_energy_index,118.7036849323922,37771.67767655605,0.3142663822053863
2,Hurink_edata,la07.fjs,100,online_minus_scratch,best_energy_index,458.94441081859986,37102.1207415823,1.2369762203491421
2,Hurink_edata,la07.fjs,200,online_minus_scratch,best_energy_index,952.839777895213,36431.827837089855,2.615404810749471
2,Hurink_edata,la13.fjs,50,online_minus_scratch,best_energy_index,137.90597096860438,46747.24991813186,0.2950033878145092
2,Hurink_edata,la13.fjs,100,online_minus_scratch,best_energy_index,310.71731465955963,45849.119827776245,0.6776952661833245
2,Hurink_edata,la13.fjs,200,online_minus_scratch,best_energy_index,679.3780926799518,45044.628033889225,1.5082333284422356
2,Hurink_edata,la19.fjs,50,online_minus_scratch,best_energy_index,-174.23405372996058,58428.03475009289,-0.2982028310128702
2,Hurink_edata,la19.fjs,100,online_minus_scratch,best_energy_index,851.0913497029396,56053.229604326596,1.5183627343343054
2,Hurink_edata,la19.fjs,200,online_minus_scratch,best_energy_index,1873.842917809132,54479.14191901614,3.439560264356991
2,Hurink_edata,la23.fjs,50,online_minus_scratch,best_energy_index,503.93530740510323,97901.40710312314,0.5147375531327039
2,Hurink_edata,la23.fjs,100,online_minus_scratch,best_energy_index,1586.134580345708,94052.17128101582,1.6864412152767227
2,Hurink_edata,la23.fjs,200,online_minus_scratch,best_energy_index,2784.364398512291,91566.86655194685,3.0407990393912754
2,Hurink_edata,la27.fjs,50,online_minus_scratch,best_energy_index,436.77566560603736,130716.52185153174,0.33413960180345725
2,Hurink_edata,la27.fjs,100,online_minus_scratch,best_energy_index,1319.1994230692071,126872.085851657,1.0397869745845105
2,Hurink_edata,la27.fjs,200,online_minus_scratch,best_energy_index,2618.5190097167215,123997.04661199203,2.1117591759346617
2,Hurink_edata,la31.fjs,50,online_minus_scratch,best_energy_index,342.8272910824744,159706.31464972405,0.21466107450690383
2,Hurink_edata,la31.fjs,100,online_minus_scratch,best_energy_index,1133.7638200587244,156145.5858250056,0.7260940577144129
2,Hurink_edata,la31.fjs,200,online_minus_scratch,best_energy_index,2347.0232308083505,151823.59357930615,1.5458883401955348
2,Hurink_edata,la36.fjs,50,online_minus_scratch,best_energy_index,1923.427220465208,170242.9983131254,1.1298128202180022
2,Hurink_edata,la36.fjs,100,online_minus_scratch,best_energy_index,2491.7688699337014,164394.32534650565,1.5157268139770776
2,Hurink_edata,la36.fjs,200,online_minus_scratch,best_energy_index,3563.885184598097,158983.31895559083,2.241672401866013
3,Brandimarte,Mk06.fjs,50,online_minus_scratch,best_energy_index,45.478382724560106,4155.5450050634045,1.0944023628464157
3,Brandimarte,Mk06.fjs,100,online_minus_scratch,best_energy_index,1.068261831765085,4156.017372494598,0.02570397897841014
3,Brandimarte,Mk06.fjs,200,online_minus_scratch,best_energy_index,23.185503124024308,4079.7508782224727,0.5683068357871429
3,Brandimarte,Mk07.fjs,50,online_minus_scratch,best_energy_index,-6.305051405249287,6063.225461233664,-0.10398840428352503
3,Brandimarte,Mk07.fjs,100,online_minus_scratch,best_energy_index,-4.631918407347257,5953.409149820415,-0.07780278980971733
3,Brandimarte,Mk07.fjs,200,online_minus_scratch,best_energy_index,31.538233934934397,5865.939413928827,0.5376501819989145
3,Hurink_edata,la04.fjs,50,online_minus_scratch,best_energy_index,212.2206527026501,27138.724185571868,0.7819846329234441
3,Hurink_edata,la04.fjs,100,online_minus_scratch,best_energy_index,386.57927555631613,26699.66467613117,1.4478806391224393
3,Hurink_edata,la04.fjs,200,online_minus_scratch,best_energy_index,576.939239879568,26236.407076771862,2.1990024708465334
3,Hurink_edata,la09.fjs,50,online_minus_scratch,best_energy_index,354.00828144497063,43693.61465079588,0.8102059861017299
3,Hurink_edata,la09.fjs,100,online_minus_scratch,best_energy_index,484.7167828093807,42827.00144522737,1.1318018223370094
3,Hurink_edata,la09.fjs,200,online_minus_scratch,best_energy_index,451.6416265086882,42188.84749820991,1.0705237362263844
3,Hurink_edata,la12.fjs,50,online_minus_scratch,best_energy_index,25.029977813188452,37435.584787057014,0.06686145803669219
3,Hurink_edata,la12.fjs,100,online_minus_scratch,best_energy_index,220.5886026163207,36717.14142675341,0.6007782579054263
3,Hurink_edata,la12.fjs,200,online_minus_scratch,best_energy_index,562.6935579575511,35911.71605511696,1.5668801710671092
3,Hurink_edata,la17.fjs,50,online_minus_scratch,best_energy_index,551.101568351427,53815.809353005825,1.024051435771347
3,Hurink_edata,la17.fjs,100,online_minus_scratch,best_energy_index,870.0700760209438,52302.52783905099,1.6635335077845272
3,Hurink_edata,la17.fjs,200,online_minus_scratch,best_energy_index,1864.2684830542785,50750.78149541761,3.6733788685059108
3,Hurink_edata,la25.fjs,50,online_minus_scratch,best_energy_index,1117.5954497891944,84078.64061133072,1.3292263548306982
3,Hurink_edata,la25.fjs,100,online_minus_scratch,best_energy_index,869.6697481773735,81763.8381662604,1.0636361595562183
3,Hurink_edata,la25.fjs,200,online_minus_scratch,best_energy_index,1775.7168691306142,79290.95098554026,2.239494982793736
