contrast,Budget,min_replica_median_delta,max_replica_median_delta,n_negative_replica_medians
online_minus_scratch,50,-0.05559337125484129,-0.03962602280516625,5
online_minus_scratch,100,-0.09753242221140274,-0.060126412713555205,5
online_minus_scratch,200,-0.20504695034204215,-0.1169458483698074,5
online_minus_ucb,50,-0.07269520989498493,-0.04383349212642909,5
online_minus_ucb,100,-0.10995644111961514,-0.05310336200533361,5
online_minus_ucb,200,-0.1991549027768108,-0.12116030122921331,5
