Budget,target,comparator,median_offline_CPU_seconds,target_online_CPU_seconds,comparator_online_CPU_seconds,online_CPU_saving_per_deployment,CPU_break_even_deployments,objective_evaluation_break_even,reason
50,XPrePPO_Online_R16,UCBOnly,13557.67367806999,45.433714172000236,46.23465891249998,0.8009447404997445,16927.102448554397,,defined from positive online CPU saving
50,XPrePPO_Online_R16,ScratchNoBC_R16,13557.67367806999,45.433714172000236,46.840611407999404,1.4068972359991676,9636.577094020256,,defined from positive online CPU saving
100,XPrePPO_Online_R16,UCBOnly,13557.67367806999,86.90016731649985,89.5365135639999,2.6363462475000574,5142.5997973241165,,defined from positive online CPU saving
100,XPrePPO_Online_R16,ScratchNoBC_R16,13557.67367806999,86.90016731649985,90.6494803620003,3.7493130455004575,3616.0420625160987,,defined from positive online CPU saving
200,XPrePPO_Online_R16,UCBOnly,13557.67367806999,170.40478041349945,176.02720087749913,5.622420463999674,2411.3589093664723,,defined from positive online CPU saving
200,XPrePPO_Online_R16,ScratchNoBC_R16,13557.67367806999,170.40478041349945,176.1603751955006,5.75559478200114,2355.56431465041,,defined from positive online CPU saving
