family,instances,sa_aos_wins,ties,sa_aos_losses,delta_hv_median,delta_hv_q25,delta_hv_q75
Mk,10,4,0,6,-0.005770671491336088,-0.011567986993106849,0.003048716454469108
la,40,10,0,30,-0.013732889066594423,-0.028791216148113863,7.049501674261105e-05
