experiment,budget,runs,fraction_bc_above_majority,fraction_bc_equal_or_below_majority,bc_samples_median,bc_samples_q25,bc_samples_q75,observed_actions_median,observed_actions_q25,observed_actions_q75,majority_action_share_median,majority_action_share_q25,majority_action_share_q75,normalized_label_entropy_median,normalized_label_entropy_q25,normalized_label_entropy_q75,bc_final_training_accuracy_median,bc_final_training_accuracy_q25,bc_final_training_accuracy_q75,bc_accuracy_minus_majority_median,bc_accuracy_minus_majority_q25,bc_accuracy_minus_majority_q75
E1,100,500,1.0,0.0,70.0,58.0,70.0,10.0,10.0,10.0,0.11428571428571428,0.11428571428571428,0.12139689578713969,0.9982212903417764,0.9964371983166431,0.998905571122498,0.3000000119209289,0.2714285850524902,0.34022727608680725,0.18571429763521463,0.1571428707667759,0.21894054932565224
E3,50,500,1.0,0.0,35.0,35.0,35.0,10.0,10.0,10.0,0.11428571428571428,0.11428571428571428,0.11428571428571428,0.9955532258544417,0.9955532258544416,0.9955532258544417,0.4000000059604645,0.3714285790920257,0.4285714328289032,0.2857142916747502,0.25714286480631143,0.31428571854318893
E3,100,500,1.0,0.0,70.0,58.0,70.0,10.0,10.0,10.0,0.11428571428571428,0.11428571428571428,0.12139689578713969,0.9982212903417764,0.9964371983166431,0.998905571122498,0.3000000119209289,0.2714285850524902,0.34022727608680725,0.18571429763521463,0.1571428707667759,0.21894054932565224
E3,200,500,1.0,0.0,71.0,58.0,91.25,10.0,10.0,10.0,0.11764705882352941,0.11290322580645161,0.1228744939271255,0.997495657957053,0.9961018431306057,0.9984326866890689,0.2880071848630905,0.25863378494977945,0.3278688490390777,0.16981132525318068,0.14127238016680377,0.20705921213562486
