experiment,dataset,instance,seed,budget,bc_samples,observed_actions,majority_action_share,normalized_label_entropy,bc_final_training_accuracy,bc_accuracy_minus_majority
E1,Brandimarte,Mk01.fjs,43,100,64,10,0.109375,0.9964669626000949,0.3125,0.203125
E1,Brandimarte,Mk01.fjs,42,100,70,10,0.1,0.9999999999999998,0.3285714387893677,0.22857143878936767
E1,Brandimarte,Mk01.fjs,45,100,70,10,0.1,0.9999999999999998,0.3000000119209289,0.2000000119209289
E1,Brandimarte,Mk01.fjs,44,100,70,10,0.1,0.9999999999999998,0.2857142984867096,0.1857142984867096
E1,Brandimarte,Mk01.fjs,46,100,64,10,0.109375,0.9964669626000949,0.328125,0.21875
E1,Brandimarte,Mk01.fjs,47,100,70,10,0.1,0.9999999999999998,0.2857142984867096,0.1857142984867096
E1,Brandimarte,Mk01.fjs,48,100,70,10,0.1,0.9999999999999998,0.2857142984867096,0.1857142984867096
E1,Brandimarte,Mk01.fjs,49,100,70,10,0.1,0.9999999999999998,0.2714285850524902,0.17142858505249017
E1,Brandimarte,Mk01.fjs,51,100,63,10,0.1111111111111111,0.9954107836132493,0.3968254029750824,0.2857142918639713
E1,Brandimarte,Mk01.fjs,50,100,53,10,0.1320754716981132,0.9970420213773472,0.3396226465702057,0.20754717487209248
E1,Brandimarte,Mk02.fjs,42,100,70,10,0.11428571428571428,0.9991106451708882,0.3142857253551483,0.20000001106943405
E1,Brandimarte,Mk02.fjs,43,100,70,10,0.1,0.9999999999999998,0.2571428716182709,0.15714287161827087
E1,Brandimarte,Mk02.fjs,44,100,70,10,0.11428571428571428,0.9991106451708882,0.2714285850524902,0.1571428707667759
E1,Brandimarte,Mk02.fjs,45,100,70,10,0.11428571428571428,0.9991106451708882,0.3285714387893677,0.2142857245036534
E1,Brandimarte,Mk02.fjs,46,100,70,10,0.1,0.9999999999999998,0.3571428656578064,0.2571428656578064
E1,Brandimarte,Mk02.fjs,47,100,41,10,0.12195121951219512,0.9989055711224978,0.4146341383457184,0.29268291883352326
