dataset,instance,Budget,variant,HV_common,rank
Brandimarte,Mk08.fjs,default,AdaptiveNoBC,1.0512531870430872,1.0
Brandimarte,Mk08.fjs,default,AdaptivePursuit,0.7776415723771369,10.0
Brandimarte,Mk08.fjs,default,AdaptiveSAOS,1.0460121006744871,3.0
Brandimarte,Mk08.fjs,default,FixedUCBPPO,1.0303240534823108,5.0
Brandimarte,Mk08.fjs,default,PPOOnly,0.9756536095852206,9.0
Brandimarte,Mk08.fjs,default,ProbabilityMatching,1.009118689529811,7.0
Brandimarte,Mk08.fjs,default,Random,1.050686760496269,2.0
Brandimarte,Mk08.fjs,default,RandomUCBPPO,1.0286451057940262,6.0
Brandimarte,Mk08.fjs,default,UCBOnly,1.0404231257657777,4.0
Brandimarte,Mk08.fjs,default,UniformFixed,0.9926183376134612,8.0
Brandimarte,Mk09.fjs,default,AdaptiveNoBC,0.9432672502855577,9.0
Brandimarte,Mk09.fjs,default,AdaptivePursuit,0.976563995499101,2.0
Brandimarte,Mk09.fjs,default,AdaptiveSAOS,0.9642422859428923,5.0
Brandimarte,Mk09.fjs,default,FixedUCBPPO,0.9657675714374043,4.0
Brandimarte,Mk09.fjs,default,PPOOnly,0.9597676312028944,7.0
Brandimarte,Mk09.fjs,default,ProbabilityMatching,1.0045189823358047,1.0
Brandimarte,Mk09.fjs,default,Random,0.959922593591156,6.0
Brandimarte,Mk09.fjs,default,RandomUCBPPO,0.9702909032245535,3.0
Brandimarte,Mk09.fjs,default,UCBOnly,0.9486156553862447,8.0
Brandimarte,Mk09.fjs,default,UniformFixed,0.9350534590175137,10.0
Brandimarte,Mk10.fjs,default,AdaptiveNoBC,0.9028858644388077,3.0
Brandimarte,Mk10.fjs,default,AdaptivePursuit,0.8643910035969807,6.0
Brandimarte,Mk10.fjs,default,AdaptiveSAOS,0.8815029050853016,5.0
Brandimarte,Mk10.fjs,default,FixedUCBPPO,0.9529909317735954,1.0
Brandimarte,Mk10.fjs,default,PPOOnly,0.7864762611992273,9.0
Brandimarte,Mk10.fjs,default,ProbabilityMatching,0.8275073422332587,7.0
Brandimarte,Mk10.fjs,default,Random,0.7783257649113399,10.0
Brandimarte,Mk10.fjs,default,RandomUCBPPO,0.8867427162897283,4.0
Brandimarte,Mk10.fjs,default,UCBOnly,0.9329855862385057,2.0
Brandimarte,Mk10.fjs,default,UniformFixed,0.8058198129073675,8.0
Hurink_edata,la01.fjs,default,AdaptiveNoBC,1.119288131040539,4.0
Hurink_edata,la01.fjs,default,AdaptivePursuit,0.8819373730544414,10.0
Hurink_edata,la01.fjs,default,AdaptiveSAOS,1.0772796087060266,8.0
Hurink_edata,la01.fjs,default,FixedUCBPPO,1.0923453146566413,7.0
Hurink_edata,la01.fjs,default,PPOOnly,1.1286783909963545,3.0
Hurink_edata,la01.fjs,default,ProbabilityMatching,1.1416896364554687,2.0
Hurink_edata,la01.fjs,default,Random,1.1535191979669341,1.0
Hurink_edata,la01.fjs,default,RandomUCBPPO,1.10971461477223,6.0
Hurink_edata,la01.fjs,default,UCBOnly,1.117294568729284,5.0
Hurink_edata,la01.fjs,default,UniformFixed,1.0691629787821988,9.0
Hurink_edata,la02.fjs,default,AdaptiveNoBC,1.0529696870112717,4.0
Hurink_edata,la02.fjs,default,AdaptivePursuit,0.9160016409961627,10.0
Hurink_edata,la02.fjs,default,AdaptiveSAOS,1.0094087410542445,8.0
Hurink_edata,la02.fjs,default,FixedUCBPPO,1.06090272314714,2.0
Hurink_edata,la02.fjs,default,PPOOnly,1.0206482145551363,7.0
Hurink_edata,la02.fjs,default,ProbabilityMatching,0.9943765638968477,9.0
Hurink_edata,la02.fjs,default,Random,1.0556666414892606,3.0
Hurink_edata,la02.fjs,default,RandomUCBPPO,1.0259910201484028,6.0
Hurink_edata,la02.fjs,default,UCBOnly,1.030706907189975,5.0
Hurink_edata,la02.fjs,default,UniformFixed,1.065012408400614,1.0
Hurink_edata,la03.fjs,default,AdaptiveNoBC,1.0939571366843297,2.0
Hurink_edata,la03.fjs,default,AdaptivePursuit,0.9448855804816525,10.0
Hurink_edata,la03.fjs,default,AdaptiveSAOS,1.0739145139047785,5.0
Hurink_edata,la03.fjs,default,FixedUCBPPO,1.0882639902707765,3.0
Hurink_edata,la03.fjs,default,PPOOnly,1.0504435413073783,7.0
Hurink_edata,la03.fjs,default,ProbabilityMatching,1.0269634811096378,8.0
Hurink_edata,la03.fjs,default,Random,1.0249002123904303,9.0
Hurink_edata,la03.fjs,default,RandomUCBPPO,1.0973284358324527,1.0
Hurink_edata,la03.fjs,default,UCBOnly,1.0787790944766744,4.0
Hurink_edata,la03.fjs,default,UniformFixed,1.0535538769916015,6.0
Hurink_edata,la04.fjs,default,AdaptiveNoBC,1.0716280107215423,6.0
Hurink_edata,la04.fjs,default,AdaptivePursuit,0.9988651649600793,10.0
Hurink_edata,la04.fjs,default,AdaptiveSAOS,1.070355689955793,7.0
Hurink_edata,la04.fjs,default,FixedUCBPPO,1.0968155736317182,2.0
Hurink_edata,la04.fjs,default,PPOOnly,1.0507662516795153,8.0
Hurink_edata,la04.fjs,default,ProbabilityMatching,1.080066605517692,4.0
Hurink_edata,la04.fjs,default,Random,1.0284554458547164,9.0
Hurink_edata,la04.fjs,default,RandomUCBPPO,1.100168947206729,1.0
Hurink_edata,la04.fjs,default,UCBOnly,1.0822866153645223,3.0
Hurink_edata,la04.fjs,default,UniformFixed,1.0770784135909721,5.0
Hurink_edata,la05.fjs,default,AdaptiveNoBC,1.1224745829220781,6.0
Hurink_edata,la05.fjs,default,AdaptivePursuit,1.036533118108065,10.0
Hurink_edata,la05.fjs,default,AdaptiveSAOS,1.134550391590256,5.0
Hurink_edata,la05.fjs,default,FixedUCBPPO,1.1427937879658867,2.0
Hurink_edata,la05.fjs,default,PPOOnly,1.1403835785974596,3.0
Hurink_edata,la05.fjs,default,ProbabilityMatching,1.099937539695644,8.0
Hurink_edata,la05.fjs,default,Random,1.1212216476278147,7.0
Hurink_edata,la05.fjs,default,RandomUCBPPO,1.1352658493670793,4.0
Hurink_edata,la05.fjs,default,UCBOnly,1.1500852443147156,1.0
Hurink_edata,la05.fjs,default,UniformFixed,1.0998935966265377,9.0
Hurink_edata,la06.fjs,default,AdaptiveNoBC,1.2423094035177948,4.0
Hurink_edata,la06.fjs,default,AdaptivePursuit,1.0669747112491206,10.0
Hurink_edata,la06.fjs,default,AdaptiveSAOS,1.2447496710146724,3.0
Hurink_edata,la06.fjs,default,FixedUCBPPO,1.2495834458054973,2.0
Hurink_edata,la06.fjs,default,PPOOnly,1.1601263807646172,8.0
Hurink_edata,la06.fjs,default,ProbabilityMatching,1.149174418334682,9.0
Hurink_edata,la06.fjs,default,Random,1.204974263536591,6.0
Hurink_edata,la06.fjs,default,RandomUCBPPO,1.2322426254790484,5.0
Hurink_edata,la06.fjs,default,UCBOnly,1.2541760915892035,1.0
Hurink_edata,la06.fjs,default,UniformFixed,1.1965300889409485,7.0
Hurink_edata,la07.fjs,default,AdaptiveNoBC,1.1961339187904443,1.0
