Budget,target,comparator,independent_unit,instances,numerical_tie_tolerance,wins,ties,losses,median_difference,bootstrap_ci95_low,bootstrap_ci95_high,rank_biserial,wilcoxon_statistic,p_raw,comparison_family,p_holm,holm_family_size,significant_0_05
default,AdaptiveSAOS,AdaptiveNoBC,instance,50,1e-12,17,0,33,-0.009763726135720074,-0.01987736878514157,-0.0017515668051464317,-0.4384313725490196,358.0,0.006325487527247375,main_target_vs_comparators_all_budgets,0.03162743763623688,9,True
default,AdaptiveSAOS,AdaptivePursuit,instance,50,1e-12,47,0,3,0.16817879071198966,0.12319853546402404,0.20024294600114545,0.9749019607843137,16.0,3.0020430585864233e-13,main_target_vs_comparators_all_budgets,2.701838752727781e-12,9,True
default,AdaptiveSAOS,FixedUCBPPO,instance,50,1e-12,19,0,31,-0.006575284941560511,-0.014696893742723982,9.680990694826974e-05,-0.3458823529411765,417.0,0.03286210881230289,main_target_vs_comparators_all_budgets,0.09858632643690868,9,False
default,AdaptiveSAOS,PPOOnly,instance,50,1e-12,38,0,12,0.020016466646717967,0.004506856072774124,0.03143264955459202,0.5231372549019608,304.0,0.0009871220775430345,main_target_vs_comparators_all_budgets,0.005922732465258207,9,True
default,AdaptiveSAOS,ProbabilityMatching,instance,50,1e-12,43,0,7,0.0528823602837894,0.03645819069256901,0.07808761597225355,0.8494117647058823,96.0,6.3368066349767105e-09,main_target_vs_comparators_all_budgets,5.0694453079813684e-08,9,True
default,AdaptiveSAOS,Random,instance,50,1e-12,36,0,14,0.015311171343495633,0.007361803558080915,0.027603515816579827,0.38509803921568625,392.0,0.017101069545240932,main_target_vs_comparators_all_budgets,0.06840427818096373,9,False
default,AdaptiveSAOS,RandomUCBPPO,instance,50,1e-12,24,0,26,-0.00040649732330344523,-0.005427324775855391,0.0063619102705057,0.05568627450980392,602.0,0.7376605378038441,main_target_vs_comparators_all_budgets,0.7376605378038441,9,False
default,AdaptiveSAOS,UCBOnly,instance,50,1e-12,14,0,36,-0.010460063888037885,-0.017958479086218726,-0.004585537493528635,-0.6266666666666667,238.0,5.9166993136017254e-05,main_target_vs_comparators_all_budgets,0.0004141689519521208,9,True
default,AdaptiveSAOS,UniformFixed,instance,50,1e-12,26,0,24,0.0040158503733398465,-0.010178606059028539,0.02300479942207123,0.1623529411764706,534.0,0.3230277659528582,main_target_vs_comparators_all_budgets,0.6460555319057164,9,False
