Protocol,dataset,instance,variant,reward_scheme,seed,HV_local,Spread,Cmax_best,TEC_best,WB_best,NSol,Time,Execution_device,Extension_seed_scheme,Torch_CUDA_available,Entropy_all,Entropy_last20,Transition_gen,Transition_reason,Reward_HV_corr,PPO_update_count,PPO_rollout_sizes,PPO_policy_loss_mean,PPO_value_loss_mean,PPO_entropy_mean,BC_samples,BC_loss,BC_accuracy,BC_entropy,BC_final_loss,BC_final_accuracy,BC_final_entropy,Operator_counts,front_pickle,Front_points_raw,Front_points_unique,HV_common
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,Random,composite,47,1418292.6541430154,0.7561329625782705,64.99957168665098,1800.698075534974,12.99999999999999,83,51.074278831481934,cpu,sha256(dataset/filename)+42,False,0.993955801211981,0.9456694971815875,-1,none,0.5111100546462797,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[8,9,10,8,13,11,10,8,11,12]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_Random_composite_seed47.pkl,83,83,1.0487512895629327
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,UniformFixed,composite,43,872011.008933628,0.7916380569835145,66.32430644715305,1792.2930203046935,12.99999999999999,82,55.06394672393799,cpu,sha256(dataset/filename)+42,False,0.9999999999999998,0.9999999999999998,-1,none,0.6636131832576656,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[10,10,10,10,10,10,10,10,10,10]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed43.pkl,82,82,1.0514952004209623
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,UniformFixed,composite,48,889916.1960753506,0.5982422093714618,60.78741882229795,1814.257246581976,12.99999999999999,70,47.376946210861206,cpu,sha256(dataset/filename)+42,False,0.9999999999999998,0.9999999999999998,-1,none,0.5723021866488599,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[10,10,10,10,10,10,10,10,10,10]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed48.pkl,70,70,1.1185853691647796
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,UniformFixed,composite,44,1628392.0670665689,0.6644383679728117,59.0194568659773,1787.027775967757,12.99999999999999,100,49.19340014457703,cpu,sha256(dataset/filename)+42,False,0.9999999999999998,0.9999999999999998,-1,none,0.5724009890385391,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[10,10,10,10,10,10,10,10,10,10]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed44.pkl,100,100,1.1301853819780447
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,UniformFixed,composite,49,771909.9396967543,0.6083914689028121,63.73651945891107,1774.132389795539,12.999999999999991,74,48.30599665641785,cpu,sha256(dataset/filename)+42,False,0.9999999999999998,0.9999999999999998,-1,none,0.5797095560776581,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[10,10,10,10,10,10,10,10,10,10]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed49.pkl,74,74,1.0922496719635304
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,UniformFixed,composite,47,1034514.2645172474,0.6845845463079678,62.06768712935428,1810.6038259204352,12.99999999999999,100,49.05798864364624,cpu,sha256(dataset/filename)+42,False,0.9999999999999998,0.9999999999999998,-1,none,0.546825889028396,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[10,10,10,10,10,10,10,10,10,10]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed47.pkl,100,100,1.0770139260841227
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,UniformFixed,composite,45,1278485.8975829429,0.7281829823603201,64.39896827600452,1760.975097719255,12.999999999999991,99,49.30935502052307,cpu,sha256(dataset/filename)+42,False,0.9999999999999998,0.9999999999999998,-1,none,0.6609670994738791,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[10,10,10,10,10,10,10,10,10,10]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed45.pkl,99,99,1.0753938666240987
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,ProbabilityMatching,composite,42,753228.0986760306,0.5939345491623537,61.087424704645485,1810.5472257770589,12.999999999999996,100,47.88425278663635,cpu,sha256(dataset/filename)+42,False,0.9053939416895872,0.8741013089736384,-1,none,0.6381723024061342,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[6,2,18,17,6,3,23,10,9,6]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_ProbabilityMatching_composite_seed42.pkl,100,100,1.0999790140211232
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,UniformFixed,composite,50,1347719.556260903,0.6280492820331757,61.22110717490476,1778.327546663569,12.999999999999991,100,48.799095153808594,cpu,sha256(dataset/filename)+42,False,0.9999999999999998,0.9999999999999998,-1,none,0.5398052178829056,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[10,10,10,10,10,10,10,10,10,10]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed50.pkl,100,100,1.0656799499735723
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,UniformFixed,composite,51,957290.398901648,0.6329560118247975,63.917917836173736,1780.776198055757,12.999999999999986,84,49.61567282676697,cpu,sha256(dataset/filename)+42,False,0.9999999999999998,0.9999999999999998,-1,none,0.5144702883562786,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[10,10,10,10,10,10,10,10,10,10]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed51.pkl,84,84,1.0862092258056508
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,UniformFixed,composite,46,1352111.7880848774,0.771850541726657,66.64344768640797,1791.929663572132,12.99999999999999,99,52.48178505897522,cpu,sha256(dataset/filename)+42,False,0.9999999999999998,0.9999999999999998,-1,none,0.4568726583397764,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[10,10,10,10,10,10,10,10,10,10]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_UniformFixed_composite_seed46.pkl,99,99,1.0455081580221135
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,ProbabilityMatching,composite,45,3872050.541229243,0.8849292514848874,67.5247748375067,1822.4477204705404,16.999999999999975,52,45.73636269569397,cpu,sha256(dataset/filename)+42,False,0.7226813676879266,0.7665546248849068,-1,none,0.551062435243987,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[35,18,0,23,0,9,2,0,6,7]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_ProbabilityMatching_composite_seed45.pkl,52,52,0.9140951555257182
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,ProbabilityMatching,composite,43,1282582.1848912209,0.8063305233249115,68.60385935623822,1845.193289643345,12.99999999999999,100,50.32600951194763,cpu,sha256(dataset/filename)+42,False,0.8939133300724825,0.8381228130928563,-1,none,0.63242539709193,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[11,4,17,6,1,2,12,10,24,13]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_ProbabilityMatching_composite_seed43.pkl,100,100,0.9657785293165344
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,ProbabilityMatching,composite,44,1915027.092376473,0.6082980814500519,60.5422026381605,1764.5614096006486,12.99999999999998,100,50.95404815673828,cpu,sha256(dataset/filename)+42,False,0.8731744784881006,0.7401941818757921,-1,none,0.5890375087837548,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[7,2,22,12,3,17,7,5,2,23]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_ProbabilityMatching_composite_seed44.pkl,100,100,1.1399203737473291
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,ProbabilityMatching,composite,46,951039.5667557948,0.8432948360985796,67.21892726965912,1782.1385222883891,13.0,67,47.82293891906738,cpu,sha256(dataset/filename)+42,False,0.9375337982614472,0.8741013089736381,-1,none,0.6156597881198315,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[16,13,8,11,1,7,16,4,9,15]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_ProbabilityMatching_composite_seed46.pkl,67,67,1.0486558151949963
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,ProbabilityMatching,composite,47,2458369.498862508,0.6810151527482298,63.34957311667359,1780.3740236709875,14.999999999999986,100,47.904646158218384,cpu,sha256(dataset/filename)+42,False,0.9006435406781532,0.875604434075346,-1,none,0.572461285434024,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[15,5,0,21,3,6,14,12,11,13]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_ProbabilityMatching_composite_seed47.pkl,100,100,0.9584664484632568
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,ProbabilityMatching,composite,51,805066.217916386,0.5749586275627191,63.58505322690294,1826.7736444460213,12.999999999999991,67,46.83884906768799,cpu,sha256(dataset/filename)+42,False,0.7708790834569702,0.864242245000193,-1,none,0.4772871500312682,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[3,2,40,20,0,9,7,4,4,11]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_ProbabilityMatching_composite_seed51.pkl,67,67,1.0548010859093144
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,AdaptivePursuit,composite,42,949007.9092508416,0.8001079127956798,67.99514532694191,1834.571354770747,14.99999999999998,93,47.63841438293457,cpu,sha256(dataset/filename)+42,False,0.606800768853293,0.2551484124924483,-1,none,0.647488088600958,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[2,6,1,1,2,1,53,6,2,26]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_AdaptivePursuit_composite_seed42.pkl,93,93,0.918971445774385
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,ProbabilityMatching,composite,49,1391925.852247925,0.5161286272157785,66.85014270777958,1813.655525139392,14.999999999999986,62,48.2020525932312,cpu,sha256(dataset/filename)+42,False,0.8612104113650115,0.8756044340753463,-1,none,0.7542632600080856,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[13,11,5,7,20,16,0,8,20,0]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_ProbabilityMatching_composite_seed49.pkl,62,62,0.9517670867317302
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,ProbabilityMatching,composite,48,922117.5199894112,0.6856766148901732,64.20685237449439,1830.895174123424,12.99999999999999,74,48.95053577423096,cpu,sha256(dataset/filename)+42,False,0.7452355029805333,0.7023650580930493,-1,none,0.6285930447485837,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[14,13,34,0,1,14,0,17,7,0]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_ProbabilityMatching_composite_seed48.pkl,74,74,1.0681791597908414
saos_bc_onpolicy_ppo_v5_20260720,Brandimarte,Mk01.fjs,ProbabilityMatching,composite,50,1832318.299212729,0.7843702332040671,64.11949300780276,1838.4513146256136,15.99999999999999,70,49.06811666488648,cpu,sha256(dataset/filename)+42,False,0.8548914339999165,0.8439983094072402,-1,none,0.5858736680440261,0,[],0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,"[4,14,0,13,15,18,9,3,1,23]",results/resubmission/v5/e1_aos/fronts/Brandimarte_Mk01_ProbabilityMatching_composite_seed50.pkl,70,70,0.9101887643100357
