lhs,rhs,metric,n_blocks,lhs_median,rhs_median,paired_median_delta,wins,ties,losses,wilcoxon_p_raw_descriptive
AdaptiveSAOS,AdaptiveNoBC,HV_common,50,1.0709525077498712,1.082721804751668,-0.009763726135720074,17,0,33,0.006325487527247375
AdaptiveSAOS,AdaptiveNoBC,Entropy_all,50,0.9859280629254459,0.993543597615439,-0.0076586063060132825,0,0,50,1.7763568394002505e-15
AdaptiveSAOS,AdaptiveNoBC,Entropy_last20,50,0.830074153450322,0.9100168549891285,-0.08060738838959702,0,0,50,1.7763568394002505e-15
AdaptiveSAOS,AdaptiveNoBC,PPO_entropy_mean,50,2.222667157649994,2.3002117102344832,-0.07757468769947717,0,0,50,1.7763568394002505e-15
