dataset,instance,Budget,variant,HV_common,Cmax_best,TEC_best,WB_best,NSol,Time,Transition_gen,PPO_update_count,BC_final_accuracy,Entropy_last20,seed_count
Brandimarte,Mk01.fjs,50,AdaptiveNoBC,1.0056104920989413,67.77004693983692,1846.4408524566584,14.499999999999984,63.0,28.56382119655609,35.0,1.0,0.0,0.8792937447833922,10
Brandimarte,Mk01.fjs,50,AdaptiveSAOS,1.0399891110338912,67.82593348783752,1840.5443066063199,13.499999999999993,63.0,30.013945817947388,35.0,1.0,0.4000000059604645,0.8561120610332473,10
Brandimarte,Mk01.fjs,50,FixedUCBPPO,1.0407675812344994,67.66408997617991,1843.4012422575797,13.99999999999999,72.0,31.043283462524414,24.0,2.0,0.6458333432674408,0.6320370911637766,10
Brandimarte,Mk01.fjs,50,PPOOnly,0.9800483575664691,68.56516867869264,1853.8390915220411,14.499999999999986,56.5,32.11799347400665,-1.0,4.0,0.0,0.8983288122256525,10
Brandimarte,Mk01.fjs,50,RandomUCBPPO,1.0131758128930253,67.4222261072577,1843.1687342743935,13.99999999999999,66.5,29.56083357334137,30.5,2.0,0.5380645096302032,0.7495113412721771,10
Brandimarte,Mk01.fjs,50,UCBOnly,1.0274901760816388,67.30755031148759,1846.0437283243084,14.49999999999999,61.0,31.14309787750244,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk01.fjs,50,UniformFixed,1.019847287907784,69.23456105828089,1820.1616977123097,14.499999999999982,61.0,29.34642243385315,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk01.fjs,100,AdaptiveNoBC,0.9562006248609635,62.25983148900634,1794.6987744429396,12.99999999999999,87.0,64.6514140367508,70.0,2.0,0.0,0.9113885281793208,10
Brandimarte,Mk01.fjs,100,AdaptiveSAOS,0.9770115595610837,61.741130376720804,1793.0924409505062,12.999999999999991,77.0,63.80826222896576,70.0,2.0,0.3062500059604645,0.8200130596015762,10
Brandimarte,Mk01.fjs,100,FixedUCBPPO,0.9642726108753007,61.74571007047534,1789.5608028320262,12.999999999999991,71.0,63.27259862422943,48.0,4.0,0.3541666567325592,0.8326361203320871,10
Brandimarte,Mk01.fjs,100,PPOOnly,0.9149711043711175,62.35992317847614,1803.7827561929962,12.99999999999999,76.0,65.39150297641754,-1.0,7.0,0.0,0.9020181229336985,10
Brandimarte,Mk01.fjs,100,RandomUCBPPO,0.9553302562766164,62.966804557953054,1787.8453865363526,12.999999999999991,88.5,65.16344106197357,55.5,3.5,0.35599078238010406,0.8117091242345039,10
Brandimarte,Mk01.fjs,100,UCBOnly,0.9682025758088673,62.598422448153904,1793.0579321566852,12.999999999999991,84.5,58.33340787887573,-1.0,0.0,0.0,0.9943189054624233,10
Brandimarte,Mk01.fjs,100,UniformFixed,0.9271917049875914,63.8272186475424,1789.4787197699445,12.99999999999999,91.5,63.51719093322754,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk01.fjs,200,AdaptiveNoBC,1.0616461574805705,57.407147608201214,1753.825248758501,12.99999999999999,100.0,155.25675582885742,74.5,8.0,0.0,0.8775962179048769,10
Brandimarte,Mk01.fjs,200,AdaptiveSAOS,1.0716328110026416,56.87480599673205,1750.411629859204,12.99999999999999,100.0,144.81890606880188,74.5,8.0,0.2959552258253097,0.8398203399713715,10
Brandimarte,Mk01.fjs,200,FixedUCBPPO,1.0178676719271889,57.5875459923248,1754.7262708003898,12.99999999999999,100.0,160.7457002401352,96.0,7.0,0.2708333432674408,0.864242245000193,10
Brandimarte,Mk01.fjs,200,PPOOnly,1.0235370464425384,58.24073763049477,1752.9960310683791,12.999999999999986,100.0,141.843856215477,-1.0,13.0,0.0,0.8756044340753462,10
Brandimarte,Mk01.fjs,200,RandomUCBPPO,1.060335879388868,57.66979647436687,1743.3237201019547,12.99999999999999,100.0,155.90057349205017,107.0,6.0,0.2477160692214965,0.8561120610332472,10
Brandimarte,Mk01.fjs,200,UCBOnly,1.0489673773711945,58.05084161685262,1748.4541232621468,12.99999999999999,100.0,136.65644335746765,-1.0,0.0,0.0,0.9886378109248468,10
Brandimarte,Mk01.fjs,200,UniformFixed,1.0205457248129035,58.700182526597786,1748.9574429146066,12.999999999999988,100.0,155.96413695812225,-1.0,0.0,0.0,0.9999999999999998,10
Brandimarte,Mk02.fjs,50,AdaptiveNoBC,0.9852216918962493,55.273214334075405,1672.9103252440236,2.499999999999991,50.0,29.486104726791382,35.0,1.0,0.0,0.8879125874781606,10
Brandimarte,Mk02.fjs,50,AdaptiveSAOS,0.9997767058194303,55.09274750467084,1660.0324173539584,2.999999999999991,47.0,33.972060680389404,35.0,1.0,0.3857142925262451,0.8269550257945105,10
Brandimarte,Mk02.fjs,50,FixedUCBPPO,1.0299126986302072,53.95854408150851,1671.0631868559033,2.0,45.0,34.548476219177246,24.0,2.0,0.6666666865348816,0.669061406546428,10
