variant,overall_mean_rank,rank_sd,instance_budget_blocks
UCBOnly,2.98,1.5477630535061424,150
AdaptiveNoBC,3.4133333333333336,1.6514653516214817,150
AdaptiveSAOS,3.8733333333333335,1.8906220938003433,150
FixedUCBPPO,3.8933333333333335,1.900712217860201,150
RandomUCBPPO,4.1866666666666665,1.7508834459104667,150
UniformFixed,4.3533333333333335,2.2289633027310476,150
PPOOnly,5.3,2.1355099354870166,150
