dataset,instance,Budget,variant,HV_common,rank
Brandimarte,Mk10.fjs,50,UniformFixed,0.9016947022076984,6.0
Hurink_edata,la01.fjs,50,AdaptiveNoBC,1.078823990448202,3.0
Hurink_edata,la01.fjs,50,AdaptiveSAOS,1.079021993418488,2.0
Hurink_edata,la01.fjs,50,FixedUCBPPO,1.0469624889603342,6.0
Hurink_edata,la01.fjs,50,PPOOnly,1.0960561172762895,1.0
Hurink_edata,la01.fjs,50,RandomUCBPPO,1.0439126097727471,7.0
Hurink_edata,la01.fjs,50,UCBOnly,1.063511919939033,4.0
Hurink_edata,la01.fjs,50,UniformFixed,1.0528682776469602,5.0
Hurink_edata,la02.fjs,50,AdaptiveNoBC,0.9994993525016536,4.0
Hurink_edata,la02.fjs,50,AdaptiveSAOS,0.9903302346026353,5.0
Hurink_edata,la02.fjs,50,FixedUCBPPO,0.9546348189072013,7.0
Hurink_edata,la02.fjs,50,PPOOnly,0.9884011410462495,6.0
Hurink_edata,la02.fjs,50,RandomUCBPPO,1.0131116778581302,2.0
Hurink_edata,la02.fjs,50,UCBOnly,1.0066910463188035,3.0
Hurink_edata,la02.fjs,50,UniformFixed,1.0242822736905113,1.0
Hurink_edata,la03.fjs,50,AdaptiveNoBC,1.1210306438564517,2.0
Hurink_edata,la03.fjs,50,AdaptiveSAOS,1.099407895258219,4.0
Hurink_edata,la03.fjs,50,FixedUCBPPO,1.0531453514989937,6.0
Hurink_edata,la03.fjs,50,PPOOnly,1.065716388496955,5.0
Hurink_edata,la03.fjs,50,RandomUCBPPO,1.1073481430057295,3.0
Hurink_edata,la03.fjs,50,UCBOnly,1.1328067492634921,1.0
Hurink_edata,la03.fjs,50,UniformFixed,1.0470689170553538,7.0
Hurink_edata,la04.fjs,50,AdaptiveNoBC,1.1009736480501084,3.0
Hurink_edata,la04.fjs,50,AdaptiveSAOS,1.1144525472457896,1.0
Hurink_edata,la04.fjs,50,FixedUCBPPO,1.0476549745338333,6.0
Hurink_edata,la04.fjs,50,PPOOnly,1.0005247400352977,7.0
Hurink_edata,la04.fjs,50,RandomUCBPPO,1.1129587812258737,2.0
Hurink_edata,la04.fjs,50,UCBOnly,1.1001909453025243,4.0
Hurink_edata,la04.fjs,50,UniformFixed,1.0749597798135082,5.0
Hurink_edata,la05.fjs,50,AdaptiveNoBC,1.1130569257391496,5.0
Hurink_edata,la05.fjs,50,AdaptiveSAOS,1.1405483533485654,1.0
Hurink_edata,la05.fjs,50,FixedUCBPPO,1.1230863943525526,3.0
Hurink_edata,la05.fjs,50,PPOOnly,1.1181105354694019,4.0
Hurink_edata,la05.fjs,50,RandomUCBPPO,1.1107175703367398,6.0
Hurink_edata,la05.fjs,50,UCBOnly,1.135948370758753,2.0
Hurink_edata,la05.fjs,50,UniformFixed,1.1067594847051172,7.0
Hurink_edata,la06.fjs,50,AdaptiveNoBC,1.2225214322107658,2.0
Hurink_edata,la06.fjs,50,AdaptiveSAOS,1.2217944247374923,3.0
Hurink_edata,la06.fjs,50,FixedUCBPPO,1.210878589994413,4.0
Hurink_edata,la06.fjs,50,PPOOnly,1.171549717574715,6.0
Hurink_edata,la06.fjs,50,RandomUCBPPO,1.2051860490880157,5.0
Hurink_edata,la06.fjs,50,UCBOnly,1.2377253889609412,1.0
Hurink_edata,la06.fjs,50,UniformFixed,1.1707396489496733,7.0
Hurink_edata,la07.fjs,50,AdaptiveNoBC,1.1748199881847992,3.0
Hurink_edata,la07.fjs,50,AdaptiveSAOS,1.1636690000949979,4.0
Hurink_edata,la07.fjs,50,FixedUCBPPO,1.1326763168611302,5.0
Hurink_edata,la07.fjs,50,PPOOnly,1.0979497019212627,7.0
Hurink_edata,la07.fjs,50,RandomUCBPPO,1.1764077878986345,2.0
Hurink_edata,la07.fjs,50,UCBOnly,1.17748464224137,1.0
Hurink_edata,la07.fjs,50,UniformFixed,1.1159192348350382,6.0
Hurink_edata,la08.fjs,50,AdaptiveNoBC,1.1853647336002309,1.0
Hurink_edata,la08.fjs,50,AdaptiveSAOS,1.176221591682086,3.0
Hurink_edata,la08.fjs,50,FixedUCBPPO,1.1573145413264272,5.0
Hurink_edata,la08.fjs,50,PPOOnly,1.1268090788203997,7.0
