dataset,instance,variant,reward_scheme,seed,front_pickle_resolved,front_points_raw,front_points_unique_nondominated,pearson_cmax_tec,spearman_cmax_tec,correlation_status
Hurink_edata,la15.fjs,R2_hv_only,hv,47,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R2_hv_only_hv_seed47.pkl,11,11,0.9751449108206728,0.20000000000000004,computed
Hurink_edata,la15.fjs,R2_hv_only,hv,46,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R2_hv_only_hv_seed46.pkl,23,23,0.7962882163006283,-0.05287867717644457,computed
Hurink_edata,la15.fjs,R2_hv_only,hv,48,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R2_hv_only_hv_seed48.pkl,20,20,0.9129577671091635,0.31464077263387,computed
Hurink_edata,la15.fjs,R2_hv_only,hv,49,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R2_hv_only_hv_seed49.pkl,14,14,0.9839677699788755,-0.011001106767013944,computed
Hurink_edata,la15.fjs,R2_hv_only,hv,50,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R2_hv_only_hv_seed50.pkl,22,22,0.9854488493125634,0.25924881011203715,computed
Hurink_edata,la15.fjs,R2_hv_only,hv,51,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R2_hv_only_hv_seed51.pkl,29,29,0.8297006695981511,-0.060844932103346544,computed
Hurink_edata,la15.fjs,R3_cmax_only,cmax,42,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R3_cmax_only_cmax_seed42.pkl,21,21,0.9793608925468371,0.40649350649350646,computed
Hurink_edata,la15.fjs,R3_cmax_only,cmax,43,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R3_cmax_only_cmax_seed43.pkl,31,31,0.9788301642518589,0.37483617490622617,computed
Hurink_edata,la15.fjs,R3_cmax_only,cmax,44,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R3_cmax_only_cmax_seed44.pkl,34,34,-0.30662927604693924,-0.23867369616604317,computed
Hurink_edata,la15.fjs,R3_cmax_only,cmax,45,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R3_cmax_only_cmax_seed45.pkl,13,13,0.736206938420724,0.11538461538461539,computed
Hurink_edata,la15.fjs,R3_cmax_only,cmax,46,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R3_cmax_only_cmax_seed46.pkl,39,39,0.029924616032000435,-0.4606508432439261,computed
Hurink_edata,la15.fjs,R3_cmax_only,cmax,47,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R3_cmax_only_cmax_seed47.pkl,23,23,0.9654749224646713,0.6221892950013431,computed
Hurink_edata,la15.fjs,R3_cmax_only,cmax,48,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R3_cmax_only_cmax_seed48.pkl,8,8,0.988644354726448,0.8571428571428572,computed
Hurink_edata,la15.fjs,R3_cmax_only,cmax,49,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R3_cmax_only_cmax_seed49.pkl,29,29,0.8690134930781794,-0.15989160376840003,computed
Hurink_edata,la15.fjs,R3_cmax_only,cmax,50,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R3_cmax_only_cmax_seed50.pkl,17,17,0.9756439922359746,0.5808823529411765,computed
Hurink_edata,la15.fjs,R3_cmax_only,cmax,51,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R3_cmax_only_cmax_seed51.pkl,25,25,0.9686018449717234,0.61127140965328,computed
Hurink_edata,la15.fjs,R4_survival_hv,survival_hv,42,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R4_survival_hv_survival_hv_seed42.pkl,15,15,0.9580497183912925,0.36785714285714277,computed
Hurink_edata,la15.fjs,R4_survival_hv,survival_hv,43,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R4_survival_hv_survival_hv_seed43.pkl,23,23,0.969052177838498,0.83300395256917,computed
Hurink_edata,la15.fjs,R4_survival_hv,survival_hv,44,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R4_survival_hv_survival_hv_seed44.pkl,44,44,0.7089097844905137,-0.2252766667692896,computed
Hurink_edata,la15.fjs,R4_survival_hv,survival_hv,45,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R4_survival_hv_survival_hv_seed45.pkl,23,23,0.729864189512142,0.6501855929101423,computed
Hurink_edata,la15.fjs,R4_survival_hv,survival_hv,46,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R4_survival_hv_survival_hv_seed46.pkl,20,20,0.7431381454456353,0.25112781954887214,computed
Hurink_edata,la15.fjs,R4_survival_hv,survival_hv,48,results/resubmission/v5/e2_reward/fronts/Hurink_edata_la15_R4_survival_hv_survival_hv_seed48.pkl,14,14,0.56538565045578,0.2835164835164835,computed
