dataset,instance,enhanced_bc_minus_padded_bc,enhanced_nobc_minus_padded_nobc,state_by_bc_interaction
Brandimarte,Mk01.fjs,-0.009403046039233365,0.0010205380544541232,-0.010423584093687488
Brandimarte,Mk03.fjs,0.01375058086530978,0.0,0.01375058086530978
Brandimarte,Mk05.fjs,-0.02074162868880447,0.0,-0.02074162868880447
Brandimarte,Mk08.fjs,0.0016480607245177303,0.0,0.0016480607245177303
Brandimarte,Mk10.fjs,-0.0017433592926261454,0.0,-0.0017433592926261454
Hurink_edata,la01.fjs,0.02361245695148484,-0.003101676618876059,0.0267141335703609
Hurink_edata,la10.fjs,0.0038050546682260045,0.013231826183512263,-0.009426771515286259
Hurink_edata,la20.fjs,-0.027147035260020047,-0.002910490885969619,-0.02423654437405043
Hurink_edata,la30.fjs,-0.01698624552858885,0.0,-0.01698624552858885
Hurink_edata,la40.fjs,0.020163854709298157,0.0,0.020163854709298157
