dataset,instance,samples,transport_time_ratio_target,transport_time_ratio_realized,agv_energy_share_median,agv_energy_share_q25,agv_energy_share_q75,cmax_energy_correlation,loaded_energy_per_distance_low,loaded_energy_per_distance_mid,loaded_energy_per_distance_high,speed_energy_strictly_increasing,all_objectives_finite
Brandimarte,Mk01.fjs,40,0.3,0.3,0.08654575660020347,0.08417626820128354,0.09029931508351778,0.7817646735041509,2.1143331186486103,3.171499677972915,4.228666237297221,True,True
Brandimarte,Mk02.fjs,40,0.3,0.3,0.10367751354069596,0.10017852099963598,0.10721363552377611,0.8316372152664602,2.951086477164801,4.426629715747201,5.902172954329602,True,True
Brandimarte,Mk03.fjs,40,0.3,0.29999999999999993,0.08757984846449265,0.086391645706302,0.09059107105238635,0.8964596763859022,2.2909644340230857,3.436446651034628,4.581928868046171,True,True
Brandimarte,Mk04.fjs,40,0.3,0.29999999999999993,0.11713144081728913,0.11159392469884592,0.12329432730301614,0.6629864999612763,2.745399058134652,4.1180985872019775,5.490798116269304,True,True
Brandimarte,Mk05.fjs,40,0.3,0.30000000000000004,0.08947491715519913,0.08546446705934983,0.09311096810664161,0.9192719155458483,2.6212605077735742,3.931890761660361,5.2425210155471484,True,True
Brandimarte,Mk06.fjs,40,0.3,0.3,0.059122039882171185,0.056520960043852,0.06349289073607714,0.891153425375353,2.1352712879336684,3.2029069319005026,4.270542575867337,True,True
Brandimarte,Mk07.fjs,40,0.3,0.3,0.07852962602774101,0.07634202582806122,0.0820529333861801,0.8496651908218571,2.142560506227574,3.213840759341361,4.285121012455148,True,True
Brandimarte,Mk08.fjs,40,0.3,0.3,0.11858679509568029,0.11505340224018967,0.12174546288796573,0.8782636782806583,2.989595908398372,4.484393862597558,5.979191816796744,True,True
Brandimarte,Mk09.fjs,40,0.3,0.29999999999999993,0.09422429856345067,0.09180753788675938,0.0975351347713669,0.9417777309863529,2.8322815414346696,4.2484223121520035,5.664563082869339,True,True
Brandimarte,Mk10.fjs,40,0.3,0.29999999999999993,0.09826446535340713,0.0945634408457892,0.10029826016483886,0.834671636518674,2.6795190753357514,4.019278613003626,5.359038150671503,True,True
Hurink_edata,la01.fjs,40,0.3,0.3,0.11980845508532692,0.1160208245385667,0.1269730370590726,0.9488170170657498,2.5085509854508903,3.762826478176335,5.017101970901781,True,True
Hurink_edata,la02.fjs,40,0.3,0.3,0.07708480618651298,0.07402170953502535,0.07953451164289435,0.7902310019259191,2.2446175456696595,3.366926318504489,4.489235091339319,True,True
Hurink_edata,la03.fjs,40,0.3,0.29999999999999993,0.10666133235232997,0.10113976703928108,0.11001900395113236,0.86634277987584,2.9667937755272114,4.450190663290817,5.933587551054423,True,True
Hurink_edata,la04.fjs,40,0.3,0.3,0.07248448242056857,0.06932250476288457,0.07676148505295688,0.8534335675940777,2.1308016659576015,3.196202498936402,4.261603331915203,True,True
Hurink_edata,la05.fjs,40,0.3,0.30000000000000004,0.11989177120311452,0.1156826789298124,0.1270539537106854,0.7731598457477784,2.6118050486663638,3.917707572999545,5.2236100973327275,True,True
Hurink_edata,la06.fjs,40,0.3,0.3,0.13512840132592857,0.12972757281120711,0.141550909783913,0.9321964815144302,2.6623055092340078,3.9934582638510117,5.3246110184680155,True,True
Hurink_edata,la07.fjs,40,0.3,0.3,0.12459158730305381,0.1202325271121587,0.12705523830558352,0.9153870068769049,2.7992553094160386,4.198882964124058,5.598510618832077,True,True
Hurink_edata,la08.fjs,40,0.3,0.29999999999999993,0.09398632705225635,0.09111891533119004,0.09765176980707452,0.8382603759214817,2.2765334725935222,3.414800208890283,4.5530669451870445,True,True
Hurink_edata,la09.fjs,40,0.3,0.3,0.09211396376250547,0.08856100296321631,0.09554712693047876,0.8579939583853234,2.1898468522613603,3.2847702783920405,4.379693704522721,True,True
Hurink_edata,la10.fjs,40,0.3,0.3,0.13729745478336539,0.13034711646626895,0.14190250782508831,0.8860442291947681,2.679065742835453,4.01859861425318,5.358131485670906,True,True
Hurink_edata,la11.fjs,40,0.3,0.3,0.09670944482069638,0.09442250787596126,0.09895364413188498,0.895697012797898,2.4124330725787404,3.61864960886811,4.824866145157481,True,True
Hurink_edata,la12.fjs,40,0.3,0.3,0.1392755488024377,0.1363287605754327,0.143491133193522,0.9158354156459008,2.7222951447161057,4.083442717074158,5.444590289432211,True,True
Hurink_edata,la13.fjs,40,0.3,0.3,0.10904987007918174,0.10560424461027157,0.11274739039751502,0.9176933186257994,2.32493249689372,3.4873987453405797,4.64986499378744,True,True
Hurink_edata,la14.fjs,40,0.3,0.3,0.10535417013189394,0.10236613632208977,0.11077725625274942,0.9573112122957058,2.5342120014361234,3.801318002154185,5.068424002872247,True,True
Hurink_edata,la15.fjs,40,0.3,0.3,0.13225601863016387,0.12770216698150097,0.13491867828159054,0.9154039374143423,2.711510447912344,4.067265671868516,5.423020895824688,True,True
Hurink_edata,la16.fjs,40,0.3,0.3,0.09365756703551181,0.09052107678184977,0.09657438912391732,0.7534863637327448,2.4034809702085993,3.6052214553128987,4.806961940417199,True,True
Hurink_edata,la17.fjs,40,0.3,0.29999999999999993,0.0808357984111072,0.07843901366132448,0.08428826776560958,0.8784215386517314,2.3890988566707523,3.583648285006128,4.778197713341505,True,True
Hurink_edata,la18.fjs,40,0.3,0.3,0.08765899840892294,0.08516781691100822,0.09112506750736347,0.9029230060100554,2.7903227209417856,4.185484081412678,5.580645441883571,True,True
Hurink_edata,la19.fjs,40,0.3,0.3,0.11190882480951564,0.1080559294696401,0.1165427629197134,0.8620665538295516,2.8597140302568977,4.289571045385346,5.7194280605137955,True,True
