Budget,variant,true_action,predicted_action,count,row_proportion
100,BasePaddedBC_R16,9,5,12,0.019867549668874173
100,BasePaddedBC_R16,9,6,73,0.12086092715231789
100,BasePaddedBC_R16,9,7,152,0.25165562913907286
100,BasePaddedBC_R16,9,8,31,0.05132450331125828
100,BasePaddedBC_R16,9,9,214,0.3543046357615894
100,EnhancedBC_R16,0,0,304,0.44903988183161003
100,EnhancedBC_R16,0,1,44,0.06499261447562776
100,EnhancedBC_R16,0,2,126,0.1861152141802068
100,EnhancedBC_R16,0,3,15,0.022156573116691284
100,EnhancedBC_R16,0,4,24,0.03545051698670606
100,EnhancedBC_R16,0,5,7,0.0103397341211226
100,EnhancedBC_R16,0,6,28,0.0413589364844904
100,EnhancedBC_R16,0,7,43,0.06351550960118169
100,EnhancedBC_R16,0,8,2,0.0029542097488921715
100,EnhancedBC_R16,0,9,84,0.1240768094534712
100,EnhancedBC_R16,1,0,73,0.11162079510703364
100,EnhancedBC_R16,1,1,259,0.39602446483180426
100,EnhancedBC_R16,1,2,109,0.16666666666666666
100,EnhancedBC_R16,1,3,22,0.03363914373088685
100,EnhancedBC_R16,1,4,25,0.0382262996941896
100,EnhancedBC_R16,1,5,11,0.016819571865443424
100,EnhancedBC_R16,1,6,27,0.04128440366972477
100,EnhancedBC_R16,1,7,47,0.07186544342507645
100,EnhancedBC_R16,1,8,0,0.0
100,EnhancedBC_R16,1,9,81,0.12385321100917432
100,EnhancedBC_R16,2,0,64,0.09155937052932761
100,EnhancedBC_R16,2,1,54,0.07725321888412018
100,EnhancedBC_R16,2,2,355,0.5078683834048641
100,EnhancedBC_R16,2,3,26,0.03719599427753934
100,EnhancedBC_R16,2,4,20,0.02861230329041488
100,EnhancedBC_R16,2,5,12,0.017167381974248927
100,EnhancedBC_R16,2,6,27,0.03862660944206009
100,EnhancedBC_R16,2,7,54,0.07725321888412018
100,EnhancedBC_R16,2,8,2,0.002861230329041488
100,EnhancedBC_R16,2,9,85,0.12160228898426323
100,EnhancedBC_R16,3,0,30,0.046012269938650305
100,EnhancedBC_R16,3,1,31,0.04754601226993865
100,EnhancedBC_R16,3,2,121,0.18558282208588958
100,EnhancedBC_R16,3,3,244,0.37423312883435583
100,EnhancedBC_R16,3,4,37,0.05674846625766871
100,EnhancedBC_R16,3,5,15,0.023006134969325152
100,EnhancedBC_R16,3,6,32,0.049079754601226995
100,EnhancedBC_R16,3,7,62,0.0950920245398773
100,EnhancedBC_R16,3,8,0,0.0
100,EnhancedBC_R16,3,9,80,0.12269938650306748
100,EnhancedBC_R16,4,0,38,0.059282371294851796
100,EnhancedBC_R16,4,1,13,0.0202808112324493
100,EnhancedBC_R16,4,2,100,0.15600624024961
100,EnhancedBC_R16,4,3,29,0.0452418096723869
100,EnhancedBC_R16,4,4,249,0.38845553822152884
100,EnhancedBC_R16,4,5,15,0.0234009360374415
100,EnhancedBC_R16,4,6,33,0.0514820592823713
100,EnhancedBC_R16,4,7,71,0.11076443057722309
100,EnhancedBC_R16,4,8,2,0.0031201248049922
100,EnhancedBC_R16,4,9,91,0.1419656786271451
100,EnhancedBC_R16,5,0,33,0.053833605220228384
100,EnhancedBC_R16,5,1,24,0.03915171288743882
100,EnhancedBC_R16,5,2,86,0.1402936378466558
100,EnhancedBC_R16,5,3,25,0.040783034257748776
100,EnhancedBC_R16,5,4,36,0.05872756933115824
100,EnhancedBC_R16,5,5,224,0.36541598694942906
100,EnhancedBC_R16,5,6,33,0.053833605220228384
100,EnhancedBC_R16,5,7,68,0.11092985318107668
100,EnhancedBC_R16,5,8,3,0.004893964110929853
100,EnhancedBC_R16,5,9,81,0.13213703099510604
100,EnhancedBC_R16,6,0,44,0.06885758998435054
100,EnhancedBC_R16,6,1,43,0.06729264475743349
100,EnhancedBC_R16,6,2,91,0.14241001564945227
100,EnhancedBC_R16,6,3,16,0.025039123630672927
100,EnhancedBC_R16,6,4,17,0.026604068857589983
100,EnhancedBC_R16,6,5,8,0.012519561815336464
100,EnhancedBC_R16,6,6,250,0.39123630672926446
100,EnhancedBC_R16,6,7,88,0.13771517996870108
100,EnhancedBC_R16,6,8,3,0.004694835680751174
100,EnhancedBC_R16,6,9,79,0.12363067292644757
100,EnhancedBC_R16,7,0,43,0.06708268330733229
100,EnhancedBC_R16,7,1,26,0.0405616224648986
100,EnhancedBC_R16,7,2,84,0.1310452418096724
100,EnhancedBC_R16,7,3,15,0.0234009360374415
100,EnhancedBC_R16,7,4,13,0.0202808112324493
100,EnhancedBC_R16,7,5,9,0.014040561622464899
100,EnhancedBC_R16,7,6,35,0.054602184087363496
100,EnhancedBC_R16,7,7,314,0.48985959438377535
100,EnhancedBC_R16,7,8,8,0.0124804992199688
100,EnhancedBC_R16,7,9,94,0.14664586583463338
100,EnhancedBC_R16,8,0,30,0.05172413793103448
100,EnhancedBC_R16,8,1,25,0.04310344827586207
100,EnhancedBC_R16,8,2,58,0.1
100,EnhancedBC_R16,8,3,16,0.027586206896551724
100,EnhancedBC_R16,8,4,9,0.015517241379310345
100,EnhancedBC_R16,8,5,7,0.01206896551724138
100,EnhancedBC_R16,8,6,33,0.056896551724137934
100,EnhancedBC_R16,8,7,92,0.15862068965517243
100,EnhancedBC_R16,8,8,212,0.36551724137931035
100,EnhancedBC_R16,8,9,98,0.16896551724137931
100,EnhancedBC_R16,9,0,58,0.09602649006622517
100,EnhancedBC_R16,9,1,41,0.06788079470198675
100,EnhancedBC_R16,9,2,85,0.14072847682119205
100,EnhancedBC_R16,9,3,9,0.014900662251655629
100,EnhancedBC_R16,9,4,11,0.018211920529801324
100,EnhancedBC_R16,9,5,10,0.016556291390728478
100,EnhancedBC_R16,9,6,19,0.03145695364238411
100,EnhancedBC_R16,9,7,60,0.09933774834437085
100,EnhancedBC_R16,9,8,8,0.013245033112582781
100,EnhancedBC_R16,9,9,303,0.5016556291390728
100,Original24BC_R16,0,0,160,0.2363367799113737
100,Original24BC_R16,0,1,107,0.15805022156573117
100,Original24BC_R16,0,2,65,0.09601181683899557
100,Original24BC_R16,0,3,8,0.011816838995568686
100,Original24BC_R16,0,4,13,0.019202363367799114
100,Original24BC_R16,0,5,11,0.01624815361890694
100,Original24BC_R16,0,6,48,0.07090103397341212
100,Original24BC_R16,0,7,101,0.14918759231905465
100,Original24BC_R16,0,8,19,0.028064992614475627
100,Original24BC_R16,0,9,145,0.21418020679468242
100,Original24BC_R16,1,0,72,0.11009174311926606
100,Original24BC_R16,1,1,215,0.3287461773700306
100,Original24BC_R16,1,2,77,0.11773700305810397
100,Original24BC_R16,1,3,16,0.024464831804281346
100,Original24BC_R16,1,4,10,0.01529051987767584
100,Original24BC_R16,1,5,12,0.01834862385321101
100,Original24BC_R16,1,6,38,0.0581039755351682
100,Original24BC_R16,1,7,83,0.12691131498470948
100,Original24BC_R16,1,8,16,0.024464831804281346
100,Original24BC_R16,1,9,115,0.17584097859327216
100,Original24BC_R16,2,0,70,0.10014306151645208
100,Original24BC_R16,2,1,17,0.024320457796852647
100,Original24BC_R16,2,2,276,0.3948497854077253
100,Original24BC_R16,2,3,27,0.03862660944206009
100,Original24BC_R16,2,4,11,0.015736766809728183
100,Original24BC_R16,2,5,9,0.012875536480686695
100,Original24BC_R16,2,6,48,0.06866952789699571
100,Original24BC_R16,2,7,110,0.15736766809728184
100,Original24BC_R16,2,8,10,0.01430615164520744
100,Original24BC_R16,2,9,121,0.17310443490701002
100,Original24BC_R16,3,0,33,0.05061349693251534
100,Original24BC_R16,3,1,9,0.013803680981595092
100,Original24BC_R16,3,2,97,0.14877300613496933
100,Original24BC_R16,3,3,212,0.32515337423312884
100,Original24BC_R16,3,4,22,0.03374233128834356
100,Original24BC_R16,3,5,12,0.018404907975460124
100,Original24BC_R16,3,6,53,0.08128834355828221
100,Original24BC_R16,3,7,100,0.15337423312883436
100,Original24BC_R16,3,8,10,0.015337423312883436
100,Original24BC_R16,3,9,104,0.15950920245398773
100,Original24BC_R16,4,0,37,0.057722308892355696
100,Original24BC_R16,4,1,4,0.0062402496099844
100,Original24BC_R16,4,2,74,0.11544461778471139
100,Original24BC_R16,4,3,67,0.10452418096723869
100,Original24BC_R16,4,4,166,0.2589703588143526
100,Original24BC_R16,4,5,36,0.056162246489859596
100,Original24BC_R16,4,6,48,0.0748829953198128
100,Original24BC_R16,4,7,105,0.16380655226209048
100,Original24BC_R16,4,8,12,0.0187207488299532
100,Original24BC_R16,4,9,92,0.1435257410296412
100,Original24BC_R16,5,0,38,0.06199021207177814
100,Original24BC_R16,5,1,6,0.009787928221859706
100,Original24BC_R16,5,2,53,0.0864600326264274
100,Original24BC_R16,5,3,22,0.03588907014681892
100,Original24BC_R16,5,4,75,0.12234910277324633
100,Original24BC_R16,5,5,142,0.23164763458401305
100,Original24BC_R16,5,6,72,0.11745513866231648
100,Original24BC_R16,5,7,92,0.1500815660685155
100,Original24BC_R16,5,8,13,0.021207177814029365
100,Original24BC_R16,5,9,100,0.1631321370309951
100,Original24BC_R16,6,0,40,0.06259780907668232
100,Original24BC_R16,6,1,8,0.012519561815336464
100,Original24BC_R16,6,2,57,0.0892018779342723
100,Original24BC_R16,6,3,16,0.025039123630672927
100,Original24BC_R16,6,4,17,0.026604068857589983
100,Original24BC_R16,6,5,72,0.11267605633802817
100,Original24BC_R16,6,6,197,0.3082942097026604
100,Original24BC_R16,6,7,126,0.19718309859154928
100,Original24BC_R16,6,8,8,0.012519561815336464
100,Original24BC_R16,6,9,98,0.15336463223787167
100,Original24BC_R16,7,0,35,0.054602184087363496
100,Original24BC_R16,7,1,5,0.0078003120124804995
100,Original24BC_R16,7,2,57,0.08892355694227769
100,Original24BC_R16,7,3,12,0.0187207488299532
100,Original24BC_R16,7,4,8,0.0124804992199688
100,Original24BC_R16,7,5,19,0.029641185647425898
100,Original24BC_R16,7,6,139,0.21684867394695787
100,Original24BC_R16,7,7,237,0.36973478939157567
100,Original24BC_R16,7,8,31,0.0483619344773791
100,Original24BC_R16,7,9,98,0.15288611544461778
100,Original24BC_R16,8,0,25,0.04310344827586207
100,Original24BC_R16,8,1,2,0.0034482758620689655
100,Original24BC_R16,8,2,39,0.06724137931034482
100,Original24BC_R16,8,3,14,0.02413793103448276
100,Original24BC_R16,8,4,9,0.015517241379310345
100,Original24BC_R16,8,5,20,0.034482758620689655
100,Original24BC_R16,8,6,71,0.12241379310344827
100,Original24BC_R16,8,7,192,0.3310344827586207
100,Original24BC_R16,8,8,79,0.13620689655172413
100,Original24BC_R16,8,9,129,0.22241379310344828
100,Original24BC_R16,9,0,36,0.059602649006622516
100,Original24BC_R16,9,1,4,0.006622516556291391
100,Original24BC_R16,9,2,50,0.08278145695364239
100,Original24BC_R16,9,3,11,0.018211920529801324
100,Original24BC_R16,9,4,5,0.008278145695364239
100,Original24BC_R16,9,5,14,0.023178807947019868
100,Original24BC_R16,9,6,57,0.09437086092715231
100,Original24BC_R16,9,7,140,0.23178807947019867
100,Original24BC_R16,9,8,37,0.061258278145695365
100,Original24BC_R16,9,9,250,0.4139072847682119
200,EnhancedBC_R16,0,0,340,0.40476190476190477
200,EnhancedBC_R16,0,1,39,0.04642857142857143
200,EnhancedBC_R16,0,2,147,0.175
200,EnhancedBC_R16,0,3,31,0.036904761904761905
200,EnhancedBC_R16,0,4,28,0.03333333333333333
200,EnhancedBC_R16,0,5,13,0.015476190476190477
200,EnhancedBC_R16,0,6,28,0.03333333333333333
200,EnhancedBC_R16,0,7,36,0.04285714285714286
200,EnhancedBC_R16,0,8,2,0.002380952380952381
200,EnhancedBC_R16,0,9,176,0.20952380952380953
200,EnhancedBC_R16,1,0,99,0.12267657992565056
200,EnhancedBC_R16,1,1,267,0.3308550185873606
200,EnhancedBC_R16,1,2,137,0.1697645600991326
200,EnhancedBC_R16,1,3,35,0.04337050805452292
200,EnhancedBC_R16,1,4,23,0.028500619578686492
200,EnhancedBC_R16,1,5,8,0.009913258983890954
200,EnhancedBC_R16,1,6,31,0.03841387856257745
200,EnhancedBC_R16,1,7,37,0.04584882280049566
200,EnhancedBC_R16,1,8,0,0.0
200,EnhancedBC_R16,1,9,170,0.21065675340768278
200,EnhancedBC_R16,2,0,88,0.10196987253765932
200,EnhancedBC_R16,2,1,48,0.055619930475086905
200,EnhancedBC_R16,2,2,404,0.4681344148319815
200,EnhancedBC_R16,2,3,42,0.04866743916570104
200,EnhancedBC_R16,2,4,20,0.023174971031286212
200,EnhancedBC_R16,2,5,14,0.016222479721900347
200,EnhancedBC_R16,2,6,24,0.027809965237543453
200,EnhancedBC_R16,2,7,50,0.05793742757821553
200,EnhancedBC_R16,2,8,2,0.002317497103128621
200,EnhancedBC_R16,2,9,171,0.1981460023174971
200,EnhancedBC_R16,3,0,51,0.06382978723404255
200,EnhancedBC_R16,3,1,39,0.04881101376720901
200,EnhancedBC_R16,3,2,149,0.18648310387984982
200,EnhancedBC_R16,3,3,270,0.3379224030037547
200,EnhancedBC_R16,3,4,33,0.04130162703379224
200,EnhancedBC_R16,3,5,12,0.015018773466833541
200,EnhancedBC_R16,3,6,40,0.05006257822277847
200,EnhancedBC_R16,3,7,46,0.057571964956195244
200,EnhancedBC_R16,3,8,3,0.0037546933667083854
200,EnhancedBC_R16,3,9,156,0.19524405506883605
200,EnhancedBC_R16,4,0,48,0.061855670103092786
200,EnhancedBC_R16,4,1,18,0.023195876288659795
200,EnhancedBC_R16,4,2,134,0.17268041237113402
200,EnhancedBC_R16,4,3,47,0.06056701030927835
200,EnhancedBC_R16,4,4,252,0.3247422680412371
200,EnhancedBC_R16,4,5,22,0.028350515463917526
200,EnhancedBC_R16,4,6,30,0.03865979381443299
200,EnhancedBC_R16,4,7,46,0.059278350515463915
200,EnhancedBC_R16,4,8,3,0.003865979381443299
200,EnhancedBC_R16,4,9,176,0.2268041237113402
200,EnhancedBC_R16,5,0,39,0.052702702702702706
200,EnhancedBC_R16,5,1,24,0.032432432432432434
200,EnhancedBC_R16,5,2,112,0.15135135135135136
200,EnhancedBC_R16,5,3,32,0.043243243243243246
200,EnhancedBC_R16,5,4,40,0.05405405405405406
200,EnhancedBC_R16,5,5,232,0.31351351351351353
200,EnhancedBC_R16,5,6,38,0.051351351351351354
200,EnhancedBC_R16,5,7,53,0.07162162162162163
200,EnhancedBC_R16,5,8,5,0.006756756756756757
200,EnhancedBC_R16,5,9,165,0.22297297297297297
200,EnhancedBC_R16,6,0,48,0.061381074168797956
200,EnhancedBC_R16,6,1,35,0.04475703324808184
200,EnhancedBC_R16,6,2,112,0.1432225063938619
200,EnhancedBC_R16,6,3,25,0.0319693094629156
200,EnhancedBC_R16,6,4,24,0.030690537084398978
200,EnhancedBC_R16,6,5,12,0.015345268542199489
200,EnhancedBC_R16,6,6,275,0.3516624040920716
200,EnhancedBC_R16,6,7,76,0.09718670076726342
200,EnhancedBC_R16,6,8,3,0.0038363171355498722
200,EnhancedBC_R16,6,9,172,0.21994884910485935
200,EnhancedBC_R16,7,0,57,0.07402597402597402
200,EnhancedBC_R16,7,1,23,0.02987012987012987
200,EnhancedBC_R16,7,2,99,0.12857142857142856
200,EnhancedBC_R16,7,3,14,0.01818181818181818
200,EnhancedBC_R16,7,4,30,0.03896103896103896
200,EnhancedBC_R16,7,5,15,0.01948051948051948
200,EnhancedBC_R16,7,6,34,0.04415584415584416
200,EnhancedBC_R16,7,7,312,0.4051948051948052
200,EnhancedBC_R16,7,8,12,0.015584415584415584
200,EnhancedBC_R16,7,9,174,0.22597402597402597
200,EnhancedBC_R16,8,0,33,0.04700854700854701
200,EnhancedBC_R16,8,1,22,0.03133903133903134
200,EnhancedBC_R16,8,2,65,0.09259259259259259
200,EnhancedBC_R16,8,3,13,0.018518518518518517
200,EnhancedBC_R16,8,4,13,0.018518518518518517
200,EnhancedBC_R16,8,5,13,0.018518518518518517
200,EnhancedBC_R16,8,6,41,0.0584045584045584
200,EnhancedBC_R16,8,7,55,0.07834757834757834
200,EnhancedBC_R16,8,8,215,0.30626780626780625
200,EnhancedBC_R16,8,9,232,0.33048433048433046
200,EnhancedBC_R16,9,0,67,0.08333333333333333
200,EnhancedBC_R16,9,1,33,0.041044776119402986
200,EnhancedBC_R16,9,2,96,0.11940298507462686
200,EnhancedBC_R16,9,3,20,0.024875621890547265
200,EnhancedBC_R16,9,4,18,0.022388059701492536
200,EnhancedBC_R16,9,5,8,0.009950248756218905
200,EnhancedBC_R16,9,6,32,0.03980099502487562
200,EnhancedBC_R16,9,7,67,0.08333333333333333
200,EnhancedBC_R16,9,8,9,0.011194029850746268
200,EnhancedBC_R16,9,9,454,0.5646766169154229
200,EnhancedBC_R32,0,0,340,0.40476190476190477
200,EnhancedBC_R32,0,1,39,0.04642857142857143
200,EnhancedBC_R32,0,2,147,0.175
200,EnhancedBC_R32,0,3,31,0.036904761904761905
200,EnhancedBC_R32,0,4,28,0.03333333333333333
200,EnhancedBC_R32,0,5,13,0.015476190476190477
200,EnhancedBC_R32,0,6,28,0.03333333333333333
200,EnhancedBC_R32,0,7,36,0.04285714285714286
200,EnhancedBC_R32,0,8,2,0.002380952380952381
200,EnhancedBC_R32,0,9,176,0.20952380952380953
200,EnhancedBC_R32,1,0,99,0.12267657992565056
200,EnhancedBC_R32,1,1,267,0.3308550185873606
200,EnhancedBC_R32,1,2,137,0.1697645600991326
200,EnhancedBC_R32,1,3,35,0.04337050805452292
200,EnhancedBC_R32,1,4,23,0.028500619578686492
200,EnhancedBC_R32,1,5,8,0.009913258983890954
200,EnhancedBC_R32,1,6,31,0.03841387856257745
200,EnhancedBC_R32,1,7,37,0.04584882280049566
200,EnhancedBC_R32,1,8,0,0.0
200,EnhancedBC_R32,1,9,170,0.21065675340768278
200,EnhancedBC_R32,2,0,88,0.10196987253765932
200,EnhancedBC_R32,2,1,48,0.055619930475086905
200,EnhancedBC_R32,2,2,404,0.4681344148319815
200,EnhancedBC_R32,2,3,42,0.04866743916570104
200,EnhancedBC_R32,2,4,20,0.023174971031286212
200,EnhancedBC_R32,2,5,14,0.016222479721900347
200,EnhancedBC_R32,2,6,24,0.027809965237543453
200,EnhancedBC_R32,2,7,50,0.05793742757821553
200,EnhancedBC_R32,2,8,2,0.002317497103128621
200,EnhancedBC_R32,2,9,171,0.1981460023174971
200,EnhancedBC_R32,3,0,51,0.06382978723404255
200,EnhancedBC_R32,3,1,39,0.04881101376720901
200,EnhancedBC_R32,3,2,149,0.18648310387984982
200,EnhancedBC_R32,3,3,270,0.3379224030037547
200,EnhancedBC_R32,3,4,33,0.04130162703379224
200,EnhancedBC_R32,3,5,12,0.015018773466833541
200,EnhancedBC_R32,3,6,40,0.05006257822277847
200,EnhancedBC_R32,3,7,46,0.057571964956195244
200,EnhancedBC_R32,3,8,3,0.0037546933667083854
200,EnhancedBC_R32,3,9,156,0.19524405506883605
