dataset,instance,Budget,variant,HV_fixed,HV_expanded_1p5,IGDplus_fixed,Cmax_best,TEC_best,WB_best,NSol,Time,Learning_time,Transition_gen,BC_pre_accuracy,BC_final_accuracy,BC_pre_loss,BC_final_loss,BC_pre_post_KL,Demo_nn_disagreement,Demo_ucb_margin_median,Demo_forced_fraction,PPO_action_effective_updates,PPO_terminal_full_updates,PPO_terminal_residual_updates,PPO_optimizer_steps,PPO_approx_KL_mean,PPO_entropy_mean,PPO_gradient_norm_mean,PPO_explained_variance_pre_mean,Reward_HV_corr,Outside_reference_points
Brandimarte,Mk01.fjs,100,BasePaddedBC_R16,1.0921079345929017,2.9817744947655416,0.06744606780320975,61.476262697256665,1794.5682888202646,12.999999999999991,77.0,64.68579733371735,0.46875277627259493,70.0,0.1000000014901161,0.2912946492433548,2.305176854133606,2.0206828117370605,0.30969861149787903,0.9212549603174602,0.01252585649490355,0.2857142857142857,1.0,0.0,1.0,8.0,-8.44468716031e-05,2.2702188044786453,0.9200418566664059,-0.002142459154129,0.6424860532786321,0.0
Brandimarte,Mk01.fjs,100,BasePaddedNoBC_R16,1.0886487241664298,2.972590803504846,0.0677924826511216,62.71699274808826,1788.8299347458778,12.99999999999999,86.5,58.55065655708313,0.028603022918105098,70.0,0.0,0.0,0.0,0.0,0.0,0.9212549603174602,0.01252585649490355,0.2857142857142857,1.0,0.0,1.0,8.0,-2.286330391142043e-05,2.299816280603409,0.70655657351017,-0.00046573579311365,0.6428087671919052,0.0
Brandimarte,Mk01.fjs,100,EnhancedBC_R16,1.0827048885536685,2.960954670609812,0.07150393395801855,62.35620604476837,1792.56942048963,12.999999999999991,80.5,65.73017573356628,0.47419769456610084,70.0,0.1000000014901161,0.4285714328289032,2.3062775135040283,1.717362403869629,1.22819322347641,0.8030753968253967,0.01252585649490355,0.2857142857142857,1.0,0.0,1.0,8.0,0.0035564588698825,2.241121192773183,1.7647746428847313,0.00021161139011385,0.6470391511891233,0.0
Brandimarte,Mk01.fjs,100,EnhancedNoBC_R16,1.089669262220884,2.978755348009675,0.06476997174340668,61.90862447221962,1788.8299347458778,12.999999999999991,83.5,65.05691826343536,0.03078446583822365,70.0,0.0,0.0,0.0,0.0,0.0,0.8030753968253967,0.01252585649490355,0.2857142857142857,1.0,0.0,1.0,8.0,0.00011618459726985,2.2989097982645035,0.8348389503856499,-0.0010744780302047,0.6371703763885894,0.0
Brandimarte,Mk01.fjs,100,Original24BC_R16,1.0795156676540378,2.951359175996451,0.0635571356582898,62.45501110225037,1793.2678898094596,12.999999999999991,75.5,63.95532298088074,0.42366453586146235,70.0,0.09716981276869771,0.326954185962677,2.306036591529846,1.9890650510787964,0.352388471364975,0.9212549603174602,0.01252585649490355,0.2857142857142857,1.0,0.0,1.0,8.0,-0.00088766805492925,2.2480349093675613,1.0786645635962486,0.006067499518394401,0.6458498436356179,0.0
Brandimarte,Mk01.fjs,100,Original24NoBC_R16,1.0907435567102213,2.977256810416648,0.06236050964240557,62.072645474237675,1792.4966271184994,12.99999999999999,67.5,63.94588577747345,0.03208722732961175,70.0,0.0,0.0,0.0,0.0,0.0,0.9212549603174602,0.01252585649490355,0.2857142857142857,1.0,0.0,1.0,8.0,-8.025446368260748e-05,2.298916071653366,0.800279048581918,0.0031267255544662,0.6465289319265837,0.0
Brandimarte,Mk01.fjs,100,UCBOnly,1.0971396198269678,2.9940613036996746,0.06239680488507338,62.598422448153904,1793.0579321566852,12.999999999999991,84.5,61.859538316726685,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6416657400114618,0.0
Brandimarte,Mk01.fjs,200,EnhancedBC_R16,1.0554700094705511,2.927464123540559,0.055587633990448734,58.18437790519424,1749.9305219854427,12.99999999999999,100.0,132.01702678203583,0.576814906205982,74.5,0.09852614626288411,0.36962802708148956,2.3057117462158203,1.7555352449417114,1.1713765859603882,0.7856705450091855,0.0160824060440063,0.2690501986276634,7.5,0.0,1.0,32.0,0.0005094523464019,2.169612769569669,1.6530804495726312,0.0026213134091997497,0.590699547473897,0.0
Brandimarte,Mk01.fjs,200,EnhancedBC_R32,1.0531662291851105,2.9166323920585304,0.06479759654440874,57.64031440484238,1751.468302479446,12.99999999999999,100.0,120.71548783779144,0.4789429032243788,74.5,0.09852614626288411,0.36962802708148956,2.3057117462158203,1.7555352449417114,1.1713765859603882,0.7856705450091855,0.0160824060440063,0.2690501986276634,3.5,0.0,1.0,16.0,0.0034673627349547497,2.1507306024432182,1.6593728497624398,-0.00151458680629725,0.5833158623989397,0.0
Brandimarte,Mk01.fjs,200,EnhancedBC_R8,1.067419113341609,2.953910482524,0.054784935777991636,56.588164328352946,1749.6802631770875,12.99999999999999,100.0,121.91689169406891,0.6076583508402109,74.5,0.09852614626288411,0.36962802708148956,2.3057117462158203,1.7555352449417114,1.1713765859603882,0.7856705450091855,0.0160824060440063,0.2690501986276634,15.5,0.0,0.0,64.0,0.0013898780133785,2.135244451150173,2.297470777932751,0.00201256573200225,0.5897782380260205,0.0
Brandimarte,Mk01.fjs,200,UCBOnly,1.0489673773711947,2.9144542079871365,0.0644669181856351,58.05084161685262,1748.4541232621468,12.99999999999999,100.0,121.85997259616852,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5978197916162296,0.0
Brandimarte,Mk03.fjs,100,BasePaddedBC_R16,0.887954962139199,2.6156511688630264,0.08504089070108284,369.22547777482646,11963.012623681832,24.999999999999886,68.5,108.48283421993256,0.5339833563193679,70.0,0.1000000014901161,0.2714285850524902,2.3053613901138306,2.033204317092896,0.30273963510990143,0.8857142857142857,0.01152518391609185,0.2857142857142857,1.0,0.0,1.0,8.0,-0.00011775682339363815,2.2770212590694427,0.946059662848711,-0.0016860514879226,0.6339207884145699,0.0
Brandimarte,Mk03.fjs,100,BasePaddedNoBC_R16,0.9028176523611698,2.637723037498369,0.08045443080345174,365.5245970645064,11930.344898713563,24.4999999999999,65.0,108.93515825271606,0.02758822543546555,70.0,0.0,0.0,0.0,0.0,0.0,0.8857142857142857,0.01152518391609185,0.2857142857142857,1.0,0.0,1.0,8.0,0.00010864064066550532,2.2998810708522797,0.7045143358409405,-0.00029623508453367395,0.6341459208604692,0.0
Brandimarte,Mk03.fjs,100,EnhancedBC_R16,0.9017055430045088,2.6375843500350737,0.08497121590648929,365.9192991252554,11940.042335868668,25.4999999999999,69.5,92.48040413856506,0.416990723926574,70.0,0.1000000014901161,0.4000000059604645,2.3071138858795166,1.715754508972168,1.2860962748527527,0.8285714285714286,0.01152518391609185,0.2857142857142857,1.0,0.0,1.0,8.0,0.00140726781163335,2.2181424349546432,1.4539712481200695,0.000827431678772,0.6353268664580906,0.0
Brandimarte,Mk03.fjs,100,EnhancedNoBC_R16,0.9028176523611698,2.637723037498369,0.08045443080345174,367.0476436176071,11930.344898713563,23.999999999999943,62.5,111.72149991989136,0.028869821224361603,70.0,0.0,0.0,0.0,0.0,0.0,0.8285714285714286,0.01152518391609185,0.2857142857142857,1.0,0.0,1.0,8.0,0.000297960548778,2.298916131258011,0.829122744500637,-0.0007752031087875,0.6300469171213521,0.0
