dataset,instance,variant,Budget,seed,normalized_min,normalized_max,coordinates_below_zero,coordinates_above_one,coordinates_above_reference,reference_dominates_front,front_points,front_path,front_sha256,outside_reference_points,inside_reference_points,outside_dimension_counts,outside_dimension_maxima,amended_fixed_box_hv_valid
Brandimarte,Mk01.fjs,UCBOnly,100,45,3.2297397080004535e-16,0.6363636363636365,0,0,0,True,46,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_UCBOnly_g100_seed45.pkl,b1da57588d4f6a7d778a317959a99c945aa68db954b686763aea4416b2c75e5b,0,46,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,UCBOnly,100,42,4.0371746350005666e-16,0.7272727272727273,0,0,0,True,67,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_UCBOnly_g100_seed42.pkl,3107bdbd8fc7cbc89b377a78e3b66653926abd509cdbd9f1fb76b9a978db3eeb,0,67,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,UCBOnly,100,46,2.42230478100034e-16,0.8636363636363635,0,0,0,True,62,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_UCBOnly_g100_seed46.pkl,1ba6db62d592d569eac27facee9a24e532bd679cfceff53054faa76a728e90cd,0,62,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,UCBOnly,100,43,3.2297397080004535e-16,0.590909090909091,0,0,0,True,77,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_UCBOnly_g100_seed43.pkl,f292c5c74042a7fe64d0c59e36d24259ad796af41ff1941f1741265009453217,0,77,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,UCBOnly,100,47,0.0,0.7272727272727273,0,0,0,True,100,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_UCBOnly_g100_seed47.pkl,4b34692f16fc384ac22247f4334b6331eb06ce4cad3134e3d306072ec55ff7bc,0,100,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24BC_R16,100,50,3.2297397080004535e-16,0.8636363636363635,0,0,0,True,69,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24BC_R16_g100_seed50.pkl,771d8e5f09d2b3326687d1dc6dd92928c1c547c56b3226dfffd3c162bd463f50,0,69,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24NoBC_R16,100,43,1.6148698540002268e-16,0.6363636363636366,0,0,0,True,86,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24NoBC_R16_g100_seed43.pkl,b3f7c9b23187ad8551d7e4100a71b73ecfc2ed89e779a063a910b4e417b642bb,0,86,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24BC_R16,100,46,4.84460956200068e-16,0.8636363636363635,0,0,0,True,60,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24BC_R16_g100_seed46.pkl,0e39899e4980c044620a64259cf3f59f68160271e2ceb879cff0eeee65980fbc,0,60,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24NoBC_R16,100,47,3.2297397080004535e-16,0.7272727272727273,0,0,0,True,76,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24NoBC_R16_g100_seed47.pkl,114a70b7362cd281048c09b5ce6dc57e381d15a007d72e5d26b759c6dcfec4a7,0,76,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
Brandimarte,Mk01.fjs,Original24NoBC_R16,100,46,2.42230478100034e-16,0.8636363636363635,0,0,0,True,61,D:\Aproject\物流\saos_v5_gitee\results\resubmission\v6_mechanism\fronts\Brandimarte_Mk01_Original24NoBC_R16_g100_seed46.pkl,2c16376f898edf1a34d591e57d7fe99332b12e6c5c9625b4dfc2c0782b2b421a,0,61,"{""Cmax"": 0, ""Energy"": 0, ""Workload"": 0}","{""Cmax"": null, ""Energy"": null, ""Workload"": null}",True
