contrast,metric,Budget,lhs,rhs,n_instances,median_raw_delta_lhs_minus_rhs,bootstrap_ci_low_raw_delta,bootstrap_ci_high_raw_delta,favorable_direction,wins_in_favorable_direction,ties,losses_in_favorable_direction,rank_biserial_favorable,wilcoxon_statistic,p_raw_unadjusted,n_nonzero,endpoint_role,multiplicity_note,test_method
enhanced_minus_padded_bc_accuracy,BC_final_accuracy,100,EnhancedBC_R16,BasePaddedBC_R16,10,0.1335987225174904,0.12142856419086456,0.1397540867328644,higher,10,0,0,1.0,0.0,0.001953125,10,exploratory mechanism diagnostic,unadjusted; not a confirmatory performance test,exact sign enumeration of average signed ranks
enhanced_minus_padded_bc_loss,BC_final_loss,100,EnhancedBC_R16,BasePaddedBC_R16,10,-0.3055771589279175,-0.31264185905456565,-0.295989573001862,lower,10,0,0,1.0,0.0,0.001953125,10,exploratory mechanism diagnostic,unadjusted; not a confirmatory performance test,exact sign enumeration of average signed ranks
enhanced_minus_padded_pre_post_kl,BC_pre_post_KL,100,EnhancedBC_R16,BasePaddedBC_R16,10,0.9694641754031181,0.9184946119785309,1.0288023203611374,higher,10,0,0,1.0,0.0,0.001953125,10,exploratory mechanism diagnostic,unadjusted; not a confirmatory performance test,exact sign enumeration of average signed ranks
enhanced_minus_padded_nn_disagreement,Demo_nn_disagreement,100,EnhancedBC_R16,BasePaddedBC_R16,10,-0.08582487639864689,-0.1028630683042448,-0.06282201405152221,lower,10,0,0,1.0,0.0,0.001953125,10,exploratory mechanism diagnostic,unadjusted; not a confirmatory performance test,exact sign enumeration of average signed ranks
