Budget,variant,epoch,runs,loss_median,loss_q25,loss_q75,accuracy_median,accuracy_q25,accuracy_q75
100,BasePaddedBC_R16,1,100,2.3041954040527344,2.302704393863678,2.306076765060425,0.10000000149011612,0.08571428805589676,0.109375
100,BasePaddedBC_R16,2,100,2.3032885789871216,2.301953136920929,2.304912745952606,0.10000000149011612,0.10000000149011612,0.11428571492433548
100,BasePaddedBC_R16,3,100,2.302654981613159,2.301123023033142,2.3039151430130005,0.10000000149011612,0.10000000149011612,0.11428571492433548
100,BasePaddedBC_R16,4,100,2.3020042181015015,2.300293743610382,2.3033151030540466,0.10000000149011612,0.10000000149011612,0.11440281011164188
100,BasePaddedBC_R16,5,100,2.3013713359832764,2.2993439435958862,2.3025137186050415,0.10773694515228271,0.10000000149011612,0.125
100,BasePaddedBC_R16,6,100,2.300864815711975,2.298537850379944,2.3017839789390564,0.1102430559694767,0.10000000149011612,0.1275974027812481
100,BasePaddedBC_R16,7,100,2.3001893758773804,2.2980200052261353,2.3012065291404724,0.11269841343164444,0.10000000149011612,0.1270562820136547
100,BasePaddedBC_R16,8,100,2.2993868589401245,2.2969492077827454,2.300582230091095,0.11428571492433548,0.10000000149011612,0.12857143580913544
100,BasePaddedBC_R16,9,100,2.2986100912094116,2.2961535453796387,2.2999056577682495,0.11428571492433548,0.10000000149011612,0.12857143580913544
100,BasePaddedBC_R16,10,100,2.2978627681732178,2.294985830783844,2.299231469631195,0.11428571492433548,0.10000000149011612,0.12857143580913544
100,BasePaddedBC_R16,11,100,2.297194242477417,2.2938042283058167,2.2985836267471313,0.11679454520344734,0.10000000149011612,0.12857143580913544
100,BasePaddedBC_R16,12,100,2.296373724937439,2.2929047346115112,2.2979409098625183,0.125,0.10294117778539658,0.1320754736661911
100,BasePaddedBC_R16,13,100,2.2954806089401245,2.292143940925598,2.297253131866455,0.12857143580913544,0.11067708395421505,0.1428571492433548
100,BasePaddedBC_R16,14,100,2.294509172439575,2.290480375289917,2.296495020389557,0.12857143580913544,0.11349206417798996,0.1428571492433548
100,BasePaddedBC_R16,15,100,2.2936434745788574,2.289654493331909,2.2956745624542236,0.12857143580913544,0.11428571492433548,0.1502358540892601
100,BasePaddedBC_R16,16,100,2.292760729789734,2.288723349571228,2.2948107719421387,0.12857143580913544,0.11428571492433548,0.14788978174328804
100,BasePaddedBC_R16,17,100,2.2918227910995483,2.287430167198181,2.2940067052841187,0.12910053133964539,0.11463700048625469,0.14779412373900414
100,BasePaddedBC_R16,18,100,2.290727376937866,2.28612220287323,2.292896270751953,0.1428571492433548,0.1269841343164444,0.15714286267757416
100,BasePaddedBC_R16,19,100,2.289562940597534,2.2847830057144165,2.2918765544891357,0.1428571492433548,0.12857143580913544,0.16000640019774437
100,BasePaddedBC_R16,20,100,2.2884048223495483,2.2836095690727234,2.2908920645713806,0.1428571492433548,0.12857143580913544,0.1702156364917755
100,BasePaddedBC_R16,21,100,2.2872754335403442,2.2823007106781006,2.289764881134033,0.1428571492433548,0.12857143580913544,0.16580796241760254
100,BasePaddedBC_R16,22,100,2.285925269126892,2.2809850573539734,2.2886536717414856,0.14754098653793335,0.12936507910490036,0.1641806773841381
100,BasePaddedBC_R16,23,100,2.284480929374695,2.2794395685195923,2.2873271703720093,0.14649776369333267,0.12936507910490036,0.17142857611179352
100,BasePaddedBC_R16,24,100,2.2829627990722656,2.2779218554496765,2.2862385511398315,0.1451910361647606,0.13146401196718216,0.17142857611179352
100,BasePaddedBC_R16,25,100,2.281246304512024,2.2758824825286865,2.2848928570747375,0.14924219250679016,0.12936507910490036,0.17142857611179352
100,BasePaddedBC_R16,26,100,2.279531717300415,2.274169921875,2.283500611782074,0.146256685256958,0.12962962687015533,0.16580796241760254
100,BasePaddedBC_R16,27,100,2.2776248455047607,2.271993339061737,2.2820465564727783,0.1565563753247261,0.13848761841654778,0.17142857611179352
100,BasePaddedBC_R16,28,100,2.275688409805298,2.2697694301605225,2.2803971767425537,0.15714286267757416,0.1428571492433548,0.17142857611179352
100,BasePaddedBC_R16,29,100,2.273811101913452,2.267547309398651,2.278638243675232,0.15714286267757416,0.1428571492433548,0.17142857611179352
100,BasePaddedBC_R16,30,100,2.271654725074768,2.2652522921562195,2.276699423789978,0.15714286267757416,0.1428571492433548,0.17142857611179352
100,BasePaddedBC_R16,31,100,2.2695690393447876,2.2627838850021362,2.27456396818161,0.15714286267757416,0.1428571492433548,0.17142857611179352
100,BasePaddedBC_R16,32,100,2.2673041820526123,2.2602763175964355,2.272680103778839,0.15907523036003113,0.1428571492433548,0.17142857611179352
100,BasePaddedBC_R16,33,100,2.264727234840393,2.257267415523529,2.270581901073456,0.1587301641702652,0.1428571492433548,0.17154018208384514
100,BasePaddedBC_R16,34,100,2.2620959281921387,2.2541560530662537,2.2679523825645447,0.17142857611179352,0.1428571492433548,0.18571428954601288
100,BasePaddedBC_R16,35,100,2.2589099407196045,2.2508665323257446,2.265223205089569,0.15793651342391968,0.1428571492433548,0.18167446926236153
100,BasePaddedBC_R16,36,100,2.255770683288574,2.247388482093811,2.262647569179535,0.17142857611179352,0.147019375115633,0.18571428954601288
100,BasePaddedBC_R16,37,100,2.2526566982269287,2.24380224943161,2.2599388360977173,0.16904762387275696,0.1448051929473877,0.18571428954601288
100,BasePaddedBC_R16,38,100,2.249253749847412,2.2400224208831787,2.2574724555015564,0.17142857611179352,0.14694606140255928,0.18571428954601288
100,BasePaddedBC_R16,39,100,2.246076464653015,2.2359790802001953,2.2542262077331543,0.17142857611179352,0.15137221664190292,0.18571428954601288
100,BasePaddedBC_R16,40,100,2.2427679300308228,2.2318819761276245,2.2511501908302307,0.17142857611179352,0.15564903989434242,0.18571428954601288
100,BasePaddedBC_R16,41,100,2.239081025123596,2.2279343605041504,2.248033344745636,0.17142857611179352,0.1522698663175106,0.18571428954601288
100,BasePaddedBC_R16,42,100,2.235393762588501,2.223583459854126,2.2445303797721863,0.17142857611179352,0.15714286267757416,0.1884741596877575
100,BasePaddedBC_R16,43,100,2.231473207473755,2.218985080718994,2.2408889532089233,0.17142857611179352,0.15714286267757416,0.19705882668495178
100,BasePaddedBC_R16,44,100,2.228174924850464,2.2139288187026978,2.2375627756118774,0.17142857611179352,0.15714286267757416,0.20000000298023224
100,BasePaddedBC_R16,45,100,2.2248576879501343,2.2088056206703186,2.233782470226288,0.17142857611179352,0.15714286267757416,0.18912848457694054
100,BasePaddedBC_R16,46,100,2.2204461097717285,2.2035358548164368,2.229760527610779,0.17142857611179352,0.15714286267757416,0.1962391547858715
100,BasePaddedBC_R16,47,100,2.2161260843276978,2.1979358196258545,2.2261918783187866,0.17142857611179352,0.15714286267757416,0.19125469774007797
