dataset,Budget,variant,instances,hv_fixed_median,hv_expanded_median,igdplus_median,effective_updates_median
Brandimarte,100,BasePaddedBC_R16,5,0.9682994511190399,2.7363204019203753,0.08504089070108284,1.0
Brandimarte,100,BasePaddedNoBC_R16,5,0.9945728070044723,2.791569370237838,0.08045443080345174,1.0
Brandimarte,100,EnhancedBC_R16,5,0.9475578224302357,2.695600030886109,0.08497121590648929,1.0
Brandimarte,100,EnhancedNoBC_R16,5,0.9945728070044723,2.791569370237838,0.08045443080345174,1.0
Brandimarte,100,Original24BC_R16,5,0.9962090988958154,2.803644218365704,0.0851878320243516,1.0
Brandimarte,100,Original24NoBC_R16,5,1.0124711644198108,2.8094305613086137,0.0796060515351042,1.0
Brandimarte,100,UCBOnly,5,0.9907271256106547,2.7826841661852884,0.07737234056327386,0.0
Brandimarte,200,EnhancedBC_R16,5,0.9936548987671814,2.79595809901942,0.07827299226244833,7.5
Brandimarte,200,EnhancedBC_R32,5,1.0406915685507232,2.8278084749696752,0.08272968461681852,3.5
Brandimarte,200,EnhancedBC_R8,5,1.0129045681149975,2.835730694821921,0.0920712046247458,15.5
Brandimarte,200,UCBOnly,5,1.0489673773711947,2.872463370026691,0.07847040924629906,0.0
Hurink_edata,100,BasePaddedBC_R16,5,1.126784684895267,3.0002909012340346,0.07811166265076952,1.0
Hurink_edata,100,BasePaddedNoBC_R16,5,1.1176799091010161,2.99306218282212,0.08991963324637539,1.0
Hurink_edata,100,EnhancedBC_R16,5,1.127498841003053,2.996811583037106,0.08926315005707085,1.0
Hurink_edata,100,EnhancedNoBC_R16,5,1.1236635016087229,2.985571658885913,0.09323897550232152,1.0
Hurink_edata,100,Original24BC_R16,5,1.1105746254850954,2.9723104132934424,0.09451007570039877,1.0
Hurink_edata,100,Original24NoBC_R16,5,1.1172189780467419,2.988530451667393,0.08208825513413598,1.0
Hurink_edata,100,UCBOnly,5,1.117294568729284,2.9752053645630214,0.08719559926657655,0.0
Hurink_edata,200,EnhancedBC_R16,5,1.0853769231569719,2.9183137180419854,0.07886220858538641,7.0
Hurink_edata,200,EnhancedBC_R32,5,1.1048030670319244,2.953262447369699,0.07372065401273531,3.0
Hurink_edata,200,EnhancedBC_R8,5,1.1040535361962363,2.9499344854394556,0.08174763980410177,14.5
Hurink_edata,200,UCBOnly,5,1.1219857241922375,2.9875863592729024,0.0847127369509216,0.0
