dataset,instance,variant,Budget,seed,feature_index,mean,std,min,max,constant
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,67,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,68,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,69,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,70,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,71,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,72,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,73,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,74,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,75,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,76,1.0,0.0,1.0,1.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,77,1.0,0.0,1.0,1.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,42,78,0.08152310194758078,0.09966513720874907,0.006816877517849207,0.2577821612358093,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,25,0.08444444369524717,0.011653432905295105,0.05999999865889549,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,26,0.1005555550671286,0.014519037769686176,0.07999999821186066,0.11999999731779099,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,27,0.0738888881686661,0.019333014871609773,0.03999999910593033,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,28,0.1344444447507461,0.024317855095396634,0.10000000149011612,0.18000000715255737,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,29,0.14277777675953177,0.023642135695072453,0.10000000149011612,0.18000000715255737,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,30,0.1611111116492086,0.021052552617397736,0.10000000149011612,0.20000000298023224,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,31,0.0849999992383851,0.01589898740883291,0.05999999865889549,0.11999999731779099,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,32,0.051111110072169036,0.013698697847493571,0.03999999910593033,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,33,0.07666666609131628,0.0197202668497179,0.03999999910593033,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,34,0.08999999943706724,0.023333333964858777,0.05999999865889549,0.14000000059604645,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,35,0.07833333334161176,0.007264832383526612,0.07000000029802322,0.09000000357627869,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,36,0.08500000027318795,0.015184056136980144,0.07000000029802322,0.10999999940395355,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,37,0.07055555573768085,0.0022906137585948882,0.07000000029802322,0.07999999821186066,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,38,0.09555555486844645,0.0199226890804868,0.07000000029802322,0.12999999523162842,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,39,0.10027777734729978,0.01833122774908641,0.07000000029802322,0.12999999523162842,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,40,0.11194444385667641,0.01853216977583545,0.07000000029802322,0.14000000059604645,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,41,0.07500000101410681,0.01462494300749011,0.05999999865889549,0.09000000357627869,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,42,0.054722222292588815,0.006448992037988503,0.05000000074505806,0.07000000029802322,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,43,0.06750000030216244,0.006400954707441955,0.05000000074505806,0.07000000029802322,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,44,0.07611110992729664,0.0059056358952257765,0.05999999865889549,0.07999999821186066,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,45,0.7990460611051984,0.024168664685480925,0.7670181393623352,0.854102611541748,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,46,0.7527808944384257,0.029899499713679435,0.7119284868240356,0.7959713935852051,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,47,0.827976773182551,0.04296179720290975,0.774172842502594,0.9100601673126221,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,48,0.7028138140837351,0.03343910134495435,0.6470386981964111,0.7559862732887268,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,49,0.6988826013273663,0.03528627387359219,0.6477043628692627,0.7647900581359863,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,50,0.6421189937326643,0.03258941908415835,0.5899240374565125,0.7468355894088745,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,51,0.7936196211311553,0.037885437106012915,0.7250704169273376,0.856049656867981,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,52,0.872413252790769,0.03560623265621627,0.7629998326301575,0.9058426022529602,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,53,0.8102385650078455,0.044340652108695144,0.7592185735702515,0.9016993641853333,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,54,0.8068748298618529,0.04027832103237462,0.7314137816429138,0.8648661971092224,False
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,55,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,56,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,57,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,58,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,59,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,60,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,61,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,62,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,63,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,64,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,65,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,66,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,67,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,68,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,69,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,70,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,71,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,72,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,73,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,74,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,75,0.0,0.0,0.0,0.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,76,1.0,0.0,1.0,1.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,77,1.0,0.0,1.0,1.0,True
Brandimarte,Mk01.fjs,EnhancedBC_R16,100,43,78,0.13367575526030528,0.09365423912514202,0.01258330699056387,0.35862845182418823,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,25,0.10388888894683784,0.011371937537717688,0.07999999821186066,0.11999999731779099,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,26,0.0955555545580056,0.018921540251024733,0.05999999865889549,0.11999999731779099,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,27,0.08055555468632115,0.013732453338769744,0.05999999865889549,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,28,0.1344444447507461,0.024317855095396634,0.10000000149011612,0.18000000715255737,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,29,0.09944444398085277,0.014519037904311324,0.07999999821186066,0.11999999731779099,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,30,0.12611110963755184,0.013999559210642035,0.10000000149011612,0.1599999964237213,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,31,0.07444444298744202,0.011166528691967735,0.05999999865889549,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,32,0.06611110973689291,0.010348853446545417,0.05999999865889549,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,33,0.10166666656732559,0.012801909010724465,0.07999999821186066,0.11999999731779099,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,34,0.11777777721484502,0.01474055404472098,0.10000000149011612,0.14000000059604645,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,35,0.08805555684698953,0.007752937965590515,0.07000000029802322,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,36,0.08250000038080746,0.016223268639675305,0.07000000029802322,0.10999999940395355,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,37,0.07388888878954782,0.005905636459833055,0.07000000029802322,0.09000000357627869,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,38,0.09555555486844645,0.0199226890804868,0.07000000029802322,0.12999999523162842,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,39,0.07861110981967714,0.004185143904916637,0.07000000029802322,0.09000000357627869,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,40,0.09444444481697348,0.014989707884453975,0.07000000029802322,0.11999999731779099,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,41,0.06972222071554926,0.009856219225160178,0.05999999865889549,0.07999999821186066,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,42,0.06222222186625004,0.00916245660298309,0.05000000074505806,0.07999999821186066,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,43,0.0800000016267101,0.01333333458751452,0.05000000074505806,0.09000000357627869,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,44,0.09000000088579124,0.013743686316217741,0.05999999865889549,0.10000000149011612,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,45,0.7628913554880354,0.020234696866676227,0.7342637181282043,0.810251772403717,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,46,0.7632301151752472,0.04095887740620736,0.7100673913955688,0.846379816532135,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,47,0.8104868299431272,0.027764310768240763,0.774172842502594,0.8571590781211853,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,48,0.7050817857185999,0.0336488274485272,0.6463429927825928,0.7559862732887268,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,49,0.7690060867203606,0.0288512024148031,0.7298476696014404,0.8089821338653564,False
Brandimarte,Mk01.fjs,EnhancedNoBC_R16,100,43,50,0.691815596487787,0.027121580272966243,0.6351743936538696,0.7468355894088745,False
