metric,family,contrast,Budget,lhs,rhs,n_instances,median_delta_oriented,bootstrap_ci_low,bootstrap_ci_high,wins,ties,losses,rank_biserial,wilcoxon_statistic,p_raw,n_nonzero,test_method,endpoint_role,multiplicity_note
HV_fixed,exploratory_R8_UCB,rollout8_vs_ucb_g200_posthoc,200,EnhancedBC_R8,UCBOnly,10,-0.010189092756364926,-0.035518118220857486,0.014928727700274091,3,0,7,-0.38181818181818183,17.0,0.322265625,10,exact sign enumeration of average signed ranks,amended primary scale used descriptively,post hoc and unadjusted; outside every confirmatory family; not usable for variant selection or superiority claims
HV_expanded_1p5,exploratory_R8_UCB,rollout8_vs_ucb_g200_posthoc,200,EnhancedBC_R8,UCBOnly,10,-0.022124413686638977,-0.0673216991452068,0.029602968372368643,4,0,6,-0.34545454545454546,18.0,0.375,10,exact sign enumeration of average signed ranks,post-audit expanded-reference sensitivity,post hoc and unadjusted; outside every confirmatory family; not usable for variant selection or superiority claims
IGDplus_fixed,exploratory_R8_UCB,rollout8_vs_ucb_g200_posthoc,200,EnhancedBC_R8,UCBOnly,10,-0.0010183737065247236,-0.01110531399658616,0.00632353977723165,5,0,5,-0.2,22.0,0.625,10,exact sign enumeration of average signed ranks,prespecified supportive sensitivity,post hoc and unadjusted; outside every confirmatory family; not usable for variant selection or superiority claims
