dataset,Budget,variant,instances,HV_fixed_median,HV_fixed_q25,HV_fixed_q75,HV_fixed_valid_instances,HV_expanded_1p5_median,HV_expanded_1p5_q25,HV_expanded_1p5_q75,HV_expanded_1p5_valid_instances,IGDplus_fixed_median,IGDplus_fixed_q25,IGDplus_fixed_q75,IGDplus_fixed_valid_instances
Brandimarte,100,BasePaddedBC_R16,5,0.980606895969699,0.9390613113871317,0.9864668649371227,5,2.765897849625584,2.702869845177267,2.8173132639331366,5,0.08741743099008675,0.06848179922651972,0.09394550652537785,5
Brandimarte,100,BasePaddedNoBC_R16,5,0.9783976941983781,0.9456690611908976,0.9862462378099572,5,2.761058824890668,2.705898807411711,2.8192618381591266,5,0.0853054247807618,0.07478178876907156,0.09771776047374539,5
Brandimarte,100,EnhancedBC_R16,5,0.9675880772237114,0.9174884077921306,0.9921242146722355,5,2.7440866108107604,2.6545288423922564,2.8316751935295867,5,0.08818823128774773,0.07866580651648328,0.10393367183511312,5
Brandimarte,100,EnhancedNoBC_R16,5,0.9750821383472179,0.949111131848968,1.021818465871984,5,2.7500046235119644,2.721570002959111,2.8879899895863024,5,0.0853054247807618,0.07478178876907156,0.09771776047374539,5
Brandimarte,100,UCBOnly,5,0.9919203711769382,0.9357835786413449,1.0280791766685908,5,2.8426172028978733,2.68549028429719,2.844452111585443,5,0.07877509190397221,0.07781878115703436,0.08381923507897301,5
Brandimarte,200,EnhancedBC_R16,5,0.8962195738771904,0.8897147142952415,1.0883478944591427,5,2.659354897643089,2.6170229032762813,2.951779980633361,5,0.10310826418488941,0.0750095289160952,0.10546694268388336,5
Brandimarte,200,EnhancedBC_R32,5,0.9204179002201454,0.8631070503838405,1.0914111770893649,5,2.7101185650109336,2.5712389353377603,2.952349610568202,5,0.10588540760509463,0.07260066109743522,0.11894427524706334,5
Brandimarte,200,EnhancedBC_R8,5,0.8887856847101718,0.859412186392848,1.1209040120414915,5,2.641248818054615,2.571149817773054,3.0116142499515446,5,0.1131368829165641,0.07161596864785404,0.12954476747289365,5
Brandimarte,200,UCBOnly,5,0.9275961431982205,0.9224200692329764,1.0614863948578668,5,2.67826656657746,2.6721935349073638,2.9131883447061115,5,0.07960820927902026,0.07575199781417297,0.08829509849257526,5
Hurink_edata,100,BasePaddedBC_R16,25,1.0941805089802399,0.9907941267503021,1.168302359586551,25,2.946246620030199,2.7289287614215247,3.0797898403449713,25,0.08834531876388185,0.0666335824279199,0.1221974785501408,25
Hurink_edata,100,BasePaddedNoBC_R16,25,1.0926624957873559,0.995446688818192,1.1637356146594897,25,2.936716032185869,2.741705619120702,3.0784567984306745,25,0.08202191121364423,0.054880338418181865,0.11486027440269761,25
Hurink_edata,100,EnhancedBC_R16,25,1.1025345149182333,1.0135452776936897,1.1688830255586438,25,2.963786349326387,2.776209499560063,3.0814580951158153,25,0.07994677601897272,0.06247596925121451,0.11143060554606728,25
Hurink_edata,100,EnhancedNoBC_R16,25,1.096712367215979,0.9937548397913828,1.1633092231673472,25,2.9461244121273484,2.7348147876128714,3.0645658059324523,25,0.08336880371506059,0.054880338418181865,0.11350822824412403,25
Hurink_edata,100,UCBOnly,25,1.1081064537612968,0.9877659093567293,1.1580350325170172,25,2.9730609765304603,2.73465291284018,3.0675434391543215,25,0.08574951183159749,0.05770063574770814,0.1085398445090534,25
Hurink_edata,200,EnhancedBC_R16,25,1.1275682321449652,1.0667330439942888,1.1714385802293272,25,2.992790883915518,2.8803472967446386,3.0765597823572515,25,0.08060334819896017,0.0517052019079131,0.09282100372811192,25
Hurink_edata,200,EnhancedBC_R32,25,1.1258622663864637,1.0519021025554485,1.1724368533532536,25,2.9986372295623944,2.8557557071125466,3.077847595637211,25,0.06987599819554935,0.04630446491182523,0.09381331589560851,25
Hurink_edata,200,EnhancedBC_R8,25,1.137082421426637,1.0525046489917862,1.1573806036913505,25,3.0258162536122453,2.858039241080088,3.0584622689054344,25,0.07370856286097303,0.054551159923630604,0.09280399556369275,25
Hurink_edata,200,UCBOnly,25,1.125027366252387,1.0825625374296144,1.176117062853757,25,3.004975466234011,2.908081229196677,3.0962494594733583,25,0.07126402474634158,0.04869835991763875,0.09191917927909614,25
